<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",328551,8,9,"Padraig","3","g",54.00,1,1.42.80,0.39.60,," HEAD","Andrew Campbell","Cambridge",5.20,1.90,18750.00,"Trudy Thornton",54.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Bandages",313325,"POWER (GB) 2009",210999,"DANE DANCER (AUS) 1999",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",282555,9,5,"Time Bomb","7","g",54.00,7,1.43.82,0.40.21,6.50," ","Janelle Millar","New Plymouth",20.40,0.00,0.00,"Masa Tanaka",54.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",203120,"TOWKAY (AUS) 1994",220516,"MYLADYS (NZ) 2001",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197369,3,,Flat,1600,"Rating 85 Benchmark","SEEKA PREMIER",30000.00,13:28:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Fine",277035,10,2,"St Saturnin","8","g",54.00,6,1.43.69,0.39.85,5.60," ","Jim Pender","Tauranga",57.40,0.00,0.00,"Darren Danis",51.00,3.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers",210214,"ST REIMS (NZ) 1999",194642,"BATTLE THE BLUES (NZ) 1997",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",294526,1,8,"Peso","6","g",59.00,3,2.18.16,0.40.08,0.60," LONG NECK","Paul Nelson","Hastings",3.90,1.70,2500.00,"Jonathan Riddell",59.00,0.00,72,0,0,"Approved Plates, Lugging Bit",188893,"COLOMBIA (NZ) 1996",204174,"ALL MAGIC (NZ) 1998",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",295248,2,9,"El Disparo","6","g",58.50,4,2.18.24,0.39.80,1.00," 1 1/2 LEN","Mark Brooks","Cambridge",32.80,0.00,1250.00,"Darren Danis",55.50,3.00,71,58,0,"Approved Plates, Tongue Control Bit, Blinkers",247999,"EL HERMANO (NZ) 2005",184126,"CLASSIC SHOT (NZ) 1995",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",316319,4,6,"Princess El Jay","4","m",57.00,9,2.25.73,0.48.29,50.60," ","Shaune Ritchie","Cambridge",5.40,0.00,0.00,"Matthew Cameron",57.00,0.00,72,0,0,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",230849,"THAT'S MY CHAR (NZ) 2002",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",317260,5,3,"Suliman","4","g",57.00,1,2.18.02,0.39.91,," 1/2 LEN","Graham Richardson & Gavin Parker","Matamata",3.00,1.40,15625.00,"Samantha Collett",57.00,0.00,68,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",242409,"RED MARIETE (AUS) 2000",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",287538,6,7,"Suggestive Heights","7","m",55.50,6,2.19.34,0.41.25,8.00," ","Simon Rees","Morrinsville",17.50,0.00,0.00,"Eilish McCall",51.50,4.00,69,0,0,"Approved Plates, Lugging Bit",262402,"ANY SUGGESTION (AUS) 2001",217705,"SPLIT THE NIGHT (NZ) 2000",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",314997,7,1,"Cool Cassie","5","m",55.00,5,2.18.46,0.40.50,2.50," 5 1/2 LEN","Nadine Kelly","Te Aroha",10.50,0.00,625.00,"Amber Sims",52.00,3.00,68,0,0,"Approved Plates, Lugging Bit",250272,"CASTLEDALE (IRE) 2001",237620,"COOL MAGIC (NZ) 2003",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",322511,9,4,"Onawing","4","m",54.50,8,2.22.59,0.43.85,29.70," ","Jeff Lynds","Awapuni",14.10,0.00,0.00,"Masa Tanaka",54.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",252510,"HYMN FOR HER (NZ) 2006",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",322453,10,5,"Century Miss","4","m",54.00,7,2.22.24,0.43.98,27.30," ","Graham Thomas & Mathew Gillies","Cambridge",7.00,0.00,0.00,"Michael Coleman",54.00,0.00,64,0,0,"Approved Plates, Lugging Bit",278104,"MASTERCRAFTSMAN (IRE) 2006",260586,"NEXT CENTURY (NZ) 2007",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197791,4,,Flat,2100,"Rating 75 Benchmark","ZEST PREMIER",25000.00,14:03:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Fine",364053,11,2,"Gabriel","4","g",54.00,2,2.18.13,0.39.68,0.50," SHORT HEAD","Grant Tucker","Karioitahi Beach",38.20,6.70,5000.00,"Tayla Wenn",51.00,3.00,60,0,0,"Approved Plates, Lugging Bit",254654,"MAN OF POWER (AUS) 2005",230646,"ANGEL BREEZE (NZ) 2002",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197368,5,,Flat,2100,"OPN HCP","ORORA KIWI PACKAGING KIWIFRUIT CUP",40000.00,14:37:00,"Y",53.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Fine",299959,1,8,"Pacorus","6","g",60.00,7,2.18.84,0.40.12,13.30," ","Chris Wood","Cambridge",5.80,0.00,0.00,"Maija Vance",60.00,0.00,90,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",248656,"TAVISTOCK (NZ) 2005",180276,"ZA TIARA (NZ) 1994",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197368,5,,Flat,2100,"OPN HCP","ORORA KIWI PACKAGING KIWIFRUIT CUP",40000.00,14:37:00,"Y",53.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Fine",274054,2,6,"Doiknowyou","8","g",57.50,5,2.17.68,0.38.70,5.70," 5 LEN","Ben Ropiha","Te Awamutu",8.10,0.00,1000.00,"Lisa Allpress",57.50,0.00,85,0,0,"Approved Plates, Lugging Bit, Tongue Tie",179607,"KASHANI (USA) 1990",147802,"SO FAMILIAR (NZ) 1990",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197368,5,,Flat,2100,"OPN HCP","ORORA KIWI PACKAGING KIWIFRUIT CUP",40000.00,14:37:00,"Y",53.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Fine",313341,3,4,"Rodrico (AUS)","5","g",54.50,2,2.16.83,0.38.32,0.50," 3 1/2 LEN","Murray Baker & Andrew Forsman","Cambridge",2.80,1.40,8000.00,"Matthew Cameron",54.50,0.00,79,0,0,"Approved Plates, Lugging Bit, Blinkers",244646,"HIGH CHAPARRAL (IRE) 1999",313345,"TRULY A BEAUTY (USA) 2006",
46646,2018-06-23,2,"Tauranga","Premier 2","Race","Racing Tauranga","RACING TAURANGA 23 JUN","Heavy",11,"Fine","True | Raining | 11mm Rain Overnight",197368,5,,Flat,2100,"OPN HCP","ORORA KIWI PACKAGING KIWIFRUIT CUP",40000.00,14:37:00,"Y",53.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Fine",306515,4,3,"Roger That","5","g",53.50,4,2.17.62,0.38.84,5.50," SHORT NECK","Antony Fuller","Tauranga",7.90,0.00,2000.00,"Samantha Collett",53.50,0.00,77,0,0,"Approved Plates, Lugging Bit",199454,"SHINKO KING (IRE) 1991",247474,"HEATHER LYN (NZ) 2005",
