<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",266950,1,1,"Storming The Tower","10","g",77.50,8,2.09.14,0.39.81,7.20," ","John Bell","Cambridge",15.90,0.00,0.00,"Shaun Fannin",76.50,1.00,80,59,52,"Approved Plates, Lugging Bit",238392,"STORM CREEK (USA) 1993",220893,"MIDNIGHT DIP (NZ) 2001",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",259975,2,5,"Just Got Home","11","g",72.00,10,2.09.23,0.39.53,7.70," ","Rudy Liefting","Pukekohe Park",49.40,0.00,0.00,"Dylan Turner",72.00,0.00,69,93,70,"Approved Plates, Lugging Bit",249919,"STORMING HOME (GB) 1998",221686,"JUSTA TAD (NZ) 2001",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",297133,3,12,"Lacustre","7","g",69.50,6,2.08.67,0.39.54,4.50," ","Samantha Logan","Cambridge",13.10,0.00,0.00,"Shaun Phelan",69.50,0.00,64,59,68,"Approved Plates, Lugging Bit, Blinkers",225552,"POSTPONED (USA) 1997",277277,"LACUSTRINE (AUS) 2004",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",319243,4,3,"Pierian Spring","5","g",68.50,1,2.07.95,0.39.14,," 2 3/4 LEN","Team Rogerson","Tuhikaramea",9.30,2.00,6250.00,"Ryan Elliot",68.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",301053,"CAPE BLANCO (IRE) 2007",230019,"PIERIAN (NZ) 2002",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",327476,5,10,"Robusto","4","m",67.50,2=,2.08.41,0.39.51,2.80," DEAD HEAT","Murray Baker & Andrew Forsman","Cambridge",1.60,1.20,1500.00,"Jonathan Riddell",67.50,0.00,64,0,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",257299,"ADRIATICO (NZ) 2007",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",320079,6,11,"La Jungles","5","g",67.50,5,2.08.47,0.39.65,3.20," 1 1/4 LEN","Stephen Beatson","Marton",102.10,0.00,250.00,"Stephan Karnicnik",65.50,2.00,60,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit",209170,"TANDARRA CROWN (NZ) 1999",228110,"JUST JINGLES (NZ) 2002",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",281332,7,2,"The Arabian Duke","8","g",67.50,7,2.09.03,0.39.65,6.70," ","Karyn McQuade","Matamata",13.00,0.00,0.00,"Buddy Lammas",67.50,0.00,60,58,74,"Approved Plates, Lugging Bit",244648,"BACHELOR DUKE (USA) 2001",247775,"SAADIYAT (NZ) 2005",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",275833,8,9,"Perry Mason","9","g",67.00,9,2.09.16,0.39.67,7.30," ","Paul Nelson","Hastings",10.10,0.00,0.00,"Aaron Kuru",67.00,0.00,59,69,80,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",226925,"ZED (NZ) 2002",215612,"DAME NGAIO (NZ) 2000",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",296421,9,6,"Markwood","7","g",66.00,2=,2.08.41,0.39.43,2.80," HEAD","Shaun & Emma Clotworthy","Byerley Park",29.50,5.10,1500.00,"Toni Moki",64.50,1.50,57,0,0,"Approved Plates, Lugging Bit, Nose Band on",277609,"RAISE THE FLAG (GB) 2005",216877,"PERNOTE (NZ) 2000",
47539,2019-04-12,2,"Arawa Park","Industry","Race","Racing Rotorua","RACING ROTORUA 12 APR","Slow",7,"Fine","Out 5m | 8mm Rain Overnight | Strong Winds This Morning",201060,3,,Flat,1950,"Rating 65 Benchmark & JMPS HWT*","PHELAN RACING STABLES HWT",10000.00,12:47:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Slow",7,"Fine",298151,10,8,"Rich Habit","7","g",66.00,12,2.11.76,0.42.04,22.60," ","Sean Cameron","Waiuku",76.90,0.00,0.00,"Mathew Gillies",66.00,0.00,57,50,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",216967,"CHANGE OF HABIT (NZ) 2000",
