<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",343570,10,11,"Blooming Rosie","4","m",56.50,11,1.12.42,0.36.35,9.10," ","Richard Sherwin","Te Awamutu",34.90,0.00,0.00,"Lynsey Satherley",56.50,0.00,45,0,0,"Approved Plates, Standard Bit, Blinkers",287776,"FABULOUS (NZ) 2010",263900,"BLOOMING HELL (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",354004,11,5,"Shake That Tush (AUS)","3","f",55.00,4,1.11.21,0.35.48,1.70," NECK","Michael Moroney & Pam Gerard","Matamata",10.70,0.00,500.00,"Cameron Lammas",55.00,0.00,50,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",344095,"DISSIDENT (AUS) 2010",339842,"RAVENNA (AUS) 2010",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",361963,12,10,"Aromatic","3","f",55.00,2,1.10.96,0.34.71,0.10," 1 1/4 LEN","Jamie Richards","Matamata",11.60,3.10,2000.00,"Taiki Yanagida",54.00,1.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",271956,"SACRED FALLS (NZ) 2009",241210,"VICKEZZCHARDONNAY (NZ) 2004",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204676,3,,Flat,1200,"MDN","NZ FULVIC 1200",10000.00,13:44:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Good",3,"Fine",359916,13,8,"Locomotion","3","f",55.00,5,1.11.27,0.35.33,2.00," SHORT NECK","Stephen Marsh","Cambridge",6.80,0.00,250.00,"Danielle Johnson",55.00,0.00,45,0,0,"Approved Plates, Lugging Bit",268640,"SUPER EASY (NZ) 2008",211832,"MINORI EXPRESS (AUS) 1995",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",349797,1,8,"Thomas Aquinas","4","g",60.00,2,2.11.27,0.35.85,0.50," 1 3/4 LEN","Murray Baker & Andrew Forsman","Cambridge",3.70,1.50,2000.00,"Jonathan Riddell",60.00,0.00,65,0,0,"Approved Plates, Lugging Bit",324908,"JAKKALBERRY (IRE) 2006",248458,"TRUE STAR (NZ) 2005",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",341575,2,9,"London Banker","4","g",59.00,1,2.11.18,0.35.29,," 1/2 LEN","Roger James & Robert Wellwood","Cambridge",2.80,1.40,6250.00,"Michael Coleman",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",265812,"PALOS DE LAGO (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",352535,4,4,"You're Welcome (AUS)","4","g",58.50,3,2.11.52,0.35.78,2.30," 3 3/4 LEN","Jamie Richards","Matamata",4.50,1.50,1000.00,"Matthew Cameron",58.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time), Tongue Tie",328811,"CAMELOT (GB) 2009",352536,"CHORUS OF ANGELS (GB) 2006",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",347816,5,1,"Capellani","4","g",56.50,4,2.12.16,0.36.15,6.10," LONG NECK","Team Rogerson","Tuhikaramea",11.90,0.00,500.00,"Ryan Elliot",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit, Blinkers",242640,"ROC DE CAMBES (NZ) 2004",267619,"CAVESTANI (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",332209,6,3,"Iffraajinator","5","g",55.50,8,2.12.71,0.37.05,9.50," ","Karen Fursdon","Matamata",12.10,0.00,0.00,"Samantha Collett",55.50,0.00,56,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band, Tongue Tie",255989,"IFFRAAJ (GB) 2001",220875,"SO YOU (NZ) 2001",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",338881,7,5,"Ohthoserussians","5","g",55.50,5,2.12.23,0.36.73,6.50," LONG HEAD","Stephen Ralph","Te Awamutu",12.30,0.00,250.00,"Jasmine Fawcett",54.50,1.00,56,0,0,"Approved Plates, Lugging Bit",236729,"GORKY PARK (NZ) 2003",196836,"OPERA ROSE (NZ) 1997",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",344090,8,6,"The Midnight Shift","4","g",55.00,7,2.12.43,0.36.63,7.70," ","Paul Mirabelli","Cambridge",13.20,0.00,0.00,"Andrew Calder",55.00,0.00,55,0,0,"Approved Plates, Lugging Bit",257403,"HE'S REMARKABLE (NZ) 2007",269158,"CASUAL FLING (NZ) 2008",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204670,4,,Flat,2100,"Rating 65 Benchmark*","HJ ASMUSS KAWERAU 2100",10000.00,14:19:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Fine",346458,9,2,"Master Oakleigh","4","g",54.00,6,2.12.27,0.36.12,6.70," ","Iain Kennedy","Rotorua",39.90,0.00,0.00,"Richard Oliver",54.00,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",268744,"BURGUNDY (NZ) 2008",227941,"LOTTERY (NZ) 2002",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204669,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",333316,1,2,"Starrybeel","5","g",61.50,1,2.11.64,0.34.84,," LONG HEAD","Stephen Marsh","Cambridge",4.30,1.60,12500.00,"Taiki Yanagida",59.50,2.00,75,0,0,"Approved Plates, Lugging Bit, Tongue Tie",238456,"SAVABEEL (AUS) 2001",272016,"STARRY (NZ) 2009",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204669,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",336227,2,3,"De Koning","5","g",60.50,4,2.11.97,0.35.28,2.00," 1/2 LEN","Fred Cornege","Cambridge",4.00,0.00,1000.00,"Lynsey Satherley",60.50,0.00,73,0,0,"Approved Plates, Lugging Bit, Blinkers",313448,"NIAGARA (AUS) 2008",213447,"MISS TEA ROSE (NZ) 2000",
48594,2020-01-27,2,"Te Teko","Tier 2 Feature","Race","Whakatane RC","WHAKATANE RC 27 JAN","Good",3,"Fine","True | Heavy dew | 4.5mm rain last 7 days",204669,5,,Flat,2100,"Rating 72 Benchmark","PUTAUAKI TRUST CUP",20000.00,14:54:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Good",3,"Fine",334297,3,1,"Caballero","5","g",58.50,5,2.12.06,0.35.09,2.50," ","Murray Baker & Andrew Forsman","Cambridge",8.80,0.00,500.00,"Jonathan Riddell",58.50,0.00,69,0,0,"Approved Plates, Lugging Bit, Blinkers",301053,"CAPE BLANCO (IRE) 2007",261980,"HIGH HEELS (NZ) 2007",
