<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",267840,6,6,"Cool Moon","9","g",56.00,2,1.16.87,0.38.12,1.50," 1 LEN","Anna Clement","Hawera",27.00,5.10,5000.00,"Madan Singh",53.00,3.00,67,0,0,"Barrier Blindfold, Approved Plates, Lugging Bit, Tongue Tie",244651,"ONE COOL CAT (USA) 2001",208662,"DANCEONTHEMOON (NZ) 1999",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",298578,7,3,"Ram Sam Sam","6","g",56.00,4,1.17.33,0.38.50,4.50," NECK","Gemma McKay","Levin",5.20,0.00,1250.00,"Rosie Myers",56.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Barrier Blanket, Nose Band",226925,"ZED (NZ) 2002",220333,"PENTAVALE (NZ) 2001",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",280003,8,4,"Veracious","7","m",54.00,7,1.18.72,0.39.75,13.40," ","Deborah Parry","Awapuni",21.60,0.00,0.00,"Masa Tanaka",54.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Bandages",232838,"NO EXCUSE NEEDED (GB) 1998",201237,"VERA PRO GRATIS (NZ) 1998",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197555,3,,Flat,1200,"Rating 75 Benchmark","DOUG FOLEY MEMORIAL/ HARRIS CONTRACTING HANDICAP",25000.00,13:07:00,"N",54.00,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",315586,10,1,"Smoken' Ace","4","g",54.00,8,1.19.24,0.40.14,16.70," ","Kevin Gray","Copper Belt Lodge, Palmerston North",11.60,0.00,0.00,"Cameron Lammas",54.00,0.00,57,0,0,"Approved Plates, Lugging Bit, Blinkers",232838,"NO EXCUSE NEEDED (GB) 1998",257208,"A'GUIN ACE (NZ) 2007",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",320843,1,1,"Shadow King","4","g",59.00,6,2.22.57,0.41.70,4.40," ","Kevin Myers","Wanganui",6.20,0.00,0.00,"Zinjete Moki",56.00,3.00,83,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",248398,"MYSTIQUE (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",291438,2,5,"Balham","7","g",58.00,7,2.24.30,0.44.06,15.20," ","David & Emma Haworth","Foxton",13.70,0.00,0.00,"Charlotte O'Beirne",55.00,3.00,81,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Tongue Tie",203711,"DON EDUARDO (NZ) 1998",186818,"FIFTY FIFTY (NZ) 1995",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",308079,3,8,"Itellyouonething","5","m",54.00,2,2.21.89,0.41.03,0.50," 2 LEN","Suzy Gordon","Foxton",4.40,1.60,6000.00,"Lisa Allpress",54.00,0.00,73,0,0,"Approved Plates, Lugging Bit",224608,"BRILLIANCE (USA) 1997",216424,"WHATRONNIELIKES (NZ) 2000",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",305039,4,7,"Sylvester","5","g",54.00,3,2.22.21,0.41.47,2.50," 1/2 HEAD","Sylvia Kay","Levin",3.50,1.60,3000.00,"Rosie Myers",54.00,0.00,73,0,0,"Approved Plates, Standard Bit, Blinkers, Nose Band",278260,"ROAD TO ROCK (AUS) 2004",233845,"PENSIVE (NZ) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",297578,5,2,"Prince Mambo","6","g",54.00,4,2.22.23,0.41.70,2.60," 3/4 LEN","Stephen McKee","Ardmore",11.30,0.00,1500.00,"Darryl Bradley",54.00,0.00,70,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Nose Band",278342,"THEWAYYOUARE (USA) 2005",234626,"GRACE PARK (NZ) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197553,4,,Flat,2100,"Rating 85 Benchmark","AB EQUIPMENT/PTS HANDICAP",30000.00,13:44:00,"N",54.00,"Unrestricted","Rating 85","unrestricted","hcp","Heavy",11,"Showery",279182,6,3,"St Ransom","9","g",54.00,8,2.26.94,0.46.35,31.70," ","Gary Vile","Awapuni",15.50,0.00,0.00,"Robert Hannam",54.00,0.00,70,50,0,"Approved Plates, Lugging Bit, Blinkers",244452,"HANDSOME RANSOM (AUS) 2000",229118,"ST DIVOT (NZ) 2002",
