<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",320091,4,9,"Monsieur","4","g",58.50,11,1.33.80,0.43.41,17.90," ","Ashley Meadows","Awapuni",13.80,0.00,0.00,"Zinjete Moki",55.50,3.00,62,0,0,"Approved Plates, Lugging Bit, Tongue Tie (1st time)",300680,"POUR MOI (IRE) 2008",186818,"FIFTY FIFTY (NZ) 1995",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",302428,5,11,"Sea Star","5","g",58.50,2,1.30.96,0.40.85,0.20," 1/2 NECK","Rosie Hackett","Wanganui",8.30,2.80,4500.00,"Lisa Allpress",58.50,0.00,62,0,0,"Approved Plates, Standard Bit, Blinkers",255435,"LUCKY UNICORN (AUS) 2002",201751,"BEYOND THE WAVES (NZ) 1998",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",319781,6,4,"Mikjene","4","g",58.00,7,1.32.34,0.41.63,8.80," ","Trudy Keegan","Stratford",10.80,0.00,0.00,"Cameron Lammas",58.00,0.00,61,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Blinkers, Tongue Tie",172521,"O'REILLY (NZ) 1993",229442,"HIDEAWAY (NZ) 2002",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",316401,7,3,"Myrtle","4","m",57.50,12,1.36.01,0.45.11,31.70," ","David Goldsbury","Awapuni",5.30,0.00,0.00,"Darryl Bradley",57.50,0.00,64,0,0,"Approved Plates, Lugging Bit",222919,"KEEPER (AUS) 1997",266638,"GRANUAILE (NZ) 2008",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",309685,8,5,"Prodigal Son","5","g",57.50,8,1.32.43,0.41.69,9.30," ","Team Rogerson","Tuhikaramea",10.30,0.00,0.00,"Alex Shin",53.50,4.00,60,0,0,"Approved Plates, Lugging Bit, Tongue Tie",244799,"DUELLED (AUS) 2002",180515,"MAYBE YES (AUS) 1990",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",322112,10,14,"Miss Doherty","4","m",56.50,4,1.31.45,0.41.21,3.20," 3/4 LEN","Roydon Bergerson","Awapuni",9.60,0.00,1125.00,"Kelly McCulloch",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",255989,"IFFRAAJ (GB) 2001",249511,"TINKERBABU (AUS) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",320056,11,2,"Breakfastateight","4","m",56.00,14,1.39.31,0.48.31,52.50," ","Stacey Dougan","Opaki",18.30,0.00,0.00,"Johnathan Parkes",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages",213341,"DANROAD (AUS) 1999",193629,"CORNFLAKE (NZ) 1997",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",316858,12,8,"Pincanto","4","m",56.00,6,1.31.97,0.41.49,6.50," ","Penny & Tony Ebbett","Waipukurau",13.00,0.00,0.00,"Shaun McKay",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",280637,"PER INCANTO (USA) 2004",248904,"SNIPPINS (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",298681,13,6,"Salted Caramel","6","m",56.00,13,1.36.41,0.45.74,34.20," ","Paul Mirabelli","Cambridge",36.00,0.00,0.00,"Tony Allan",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",285139,"SWISS ACE (AUS) 2004",233020,"BOOGIE NIGHTS (AUS) 2003",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",292431,14,10,"Justa Small Ransom","6","m",55.50,9,1.33.08,0.42.09,13.30," ","Erin Hocquard","Waverley",17.50,0.00,0.00,"Timothy Johnson",53.50,2.00,60,0,0,"Approved Plates, Lugging Bit, Nose Band",244452,"HANDSOME RANSOM (AUS) 2000",194142,"JUST AGGIE (NZ) 1997",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",322923,15,12,"Margot","4","m",55.50,3,1.31.01,0.40.77,0.40," 2 3/4 LEN","Suzy Gordon","Foxton",15.10,4.40,2250.00,"Madan Singh",52.50,3.00,60,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",245524,"PEGGY HOOKHAM (NZ) 2005",
46616,2018-05-19,4,"Awapuni","Feature","Race","Rangitikei R.C.","RANGITIKEI RC19 MAY","Heavy",11,"Showery","True | 1mm Rain Overnight",197557,8,,Flat,1400,"Rating 65 Benchmark*","MCCARTHY TRANSPORT/TRC TOYOTA HANDICAP",22500.00,16:07:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",320401,16,13,"Spondulix","4","g",57.50,1,1.30.91,0.40.25,," 1/2 NECK","Ian Adams","New Plymouth",33.90,7.70,14060.00,"Wiremu Pinn",53.50,4.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers",261934,"NADEEM (AUS) 2003",227361,"MISS MONEYTREE (NZ) 2002",
