<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",423420,3,6,"Cross Talk","3","g",58.50,1,1.17.03,0.39.61,," 4 LEN","Debbie Harris","New Plymouth",2.10,1.30,5400.00,"Hazel Schofer",57.50,1.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",249127,"KEANO (NZ) 2005",240652,"MRS CROSS (NZ) 2004",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",380543,6,2,"Swiss Kitty","3","g",58.50,2,1.17.70,0.39.88,4.00," 8 LEN","Robbie Patterson","New Plymouth",4.70,1.50,1500.00,"Joe Kamaruddin",55.50,3.00,47,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",276031,"FLOOZIE CAT (NZ) 2009",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",381730,9,4,"Precision Shooter (AUS)","3","g",58.50,5,1.19.29,0.40.68,12.90," ","Danny Walker","Byerley Park",16.60,0.00,200.00,"Ashvin Mudhoo",55.50,3.00,45,0,0,"Approved Plates, Lugging Bit",344019,"SHOOTING TO WIN (AUS) 2011",381731,"MISS ELVEE (AUS) 2007",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",359472,11,5,"Chouxwest","4","m",56.50,8,1.21.28,0.43.02,24.40," ","Darrell Hollinshead","Te Awamutu",26.00,0.00,200.00,"Callum Jones",53.50,3.00,45,0,0,"Approved Plates, Standard Bit",258606,"JIMMY CHOUX (NZ) 2007",281815,"URULU (NZ) 2010",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",372954,12,1,"Loox Like A Pro","3","f",56.50,3,1.19.10,0.40.92,12.00," LONG NECK","Janelle Millar","New Plymouth",18.60,3.20,700.00,"Chris Dell",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",337555,"PROISIR (AUS) 2009",236646,"KILLA LOOX (NZ) 2003",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",345102,13,8,"Smooth Cognac","5","m",56.50,6,1.19.35,0.41.43,13.30," ","Rosie Buchanan","Stratford",20.40,0.00,200.00,"Mereana Hudson",56.50,0.00,45,0,0,"Ear Covers Pre-Race on, Approved Plates, Lugging Bit, Blinkers, Tongue Tie",236729,"GORKY PARK (NZ) 2003",224327,"TERRESSA (NZ) 2001",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",211373,3,,Flat,1200,"MDN","WHITAKER CIVIL CONSTRUCTION MDN",10000.00,12:52:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",332355,14,9,"Tennessee Rose","6","m",56.50,9,1.23.10,0.44.54,34.70," ","Karen Buttimore","Hawera",34.40,0.00,200.00,"Diego Montes de Oca",55.50,1.00,45,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",271306,"SAVANNAH RAIN (AUS) 1997",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",352757,1,7,"Sudann","4","g",58.50,2,1.33.09,0.42.77,2.30," 3 3/4 LEN","Robbie Patterson","New Plymouth",16.50,4.00,1500.00,"Mereana Hudson",58.50,0.00,46,0,0,"Approved Plates, Lugging Bit",257403,"HE'S REMARKABLE (NZ) 2007",287261,"TRUE SPIRIT (NZ) 2010",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",362698,2,4,"Brother Max","4","g",58.50,5,1.33.99,0.43.07,7.70," ","Tarissa Macdonald","Cambridge",35.40,0.00,200.00,"Jasmine Fawcett",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",252669,"CIVICS (AUS) 1999",236708,"PAINTED SISTER (NZ) 2003",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",362679,3,2,"Rock Hard Rex","4","g",58.50,7,1.34.57,0.43.77,10.80," ","Iain Marks","Te Aroha",22.10,0.00,200.00,"Hazel Schofer",57.50,1.00,45,0,0,"Approved Plates, Lugging Bit",313564,"RELIABLE MAN (GB) 2008",288044,"THAT THERE'S IT (AUS) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",380424,4,5,"So Call Me","3","g",58.50,1,1.32.70,0.41.44,," 2 1/4 LEN","Kevin Myers","Wanganui",6.60,2.00,5400.00,"Sam O'Malley",58.00,0.50,45,0,0,"Approved Plates, Lugging Bit",350344,"SWEYNESSE (AUS) 2011",269504,"CALL ME MAYBE (NZ) 2008",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",377848,5,1,"Winkle Bay","3","f",56.50,4,1.33.99,0.42.73,7.60," NOSE","Robbie Patterson","New Plymouth",1.90,0.00,400.00,"Joe Kamaruddin",53.50,3.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",287683,"RIP VAN WINKLE (IRE) 2006",258716,"COVENTINA (NZ) 2007",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",397128,6,8,"Torrent","4","m",56.50,10,1.40.55,0.45.57,44.80," ","Ilone Kelly","Levin",8.80,0.00,200.00,"Ashvin Mudhoo",53.50,3.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",313448,"NIAGARA (AUS) 2008",297917,"SHOWUS (NZ) 2011",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",349994,7,6,"Masarova","5","m",56.50,9,1.37.55,0.46.19,27.80," ","Karen Buttimore","Hawera",33.70,0.00,200.00,"Chris Dell",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Side Winkers",285139,"SWISS ACE (AUS) 2004",277257,"MISS IVANOVIC (AUS) 2006",
49742,2021-05-15,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 15 MAY","Heavy",10,"Overcast","Out 5m | 11mm Rain Overnight | Fine this afternoon",212084,4,,Flat,1400,"MDN","SEATON PARK 1400",10000.00,13:24:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",362064,8,3,"Black Eyed Sue","4","m",56.50,6,1.34.29,0.43.11,9.20," ","John Wheeler","New Plymouth",10.40,0.00,200.00,"Diego Montes de Oca",55.50,1.00,48,0,0,"Approved Plates, Standard Bit, Blinkers",287689,"MAKFI (GB) 2007",260164,"I GOTTA FEELING (NZ) 2007",
