Honor The Dance,204005,5,m,Keith Opie,Te Aroha,167579,HONOR GRADES (USA) 1988,55543,FLORIDA JIG (USA) 1979
Atholl Palace,215138,3,g,Tony & Pam Gillies,Matamata,186277,SLAVIC (USA) 1987,128061,VAUCLUSE (NZ) 1988
Keitel Bijou,194573,6,m,Bill Wright,Matamata,20195,KEITEL (NZ) 1983,20806,KIRSTY BIJOU (NZ) 1984
Lord Believeme,218131,3,g,Graeme Nicholson,Te Aroha,23274,LORD BALLINA (AUS) 1979,92539,FULL CRY (NZ) 1985
Rover's Return,216417,3,g,John Revell,Te Aroha,174818,MAROOF (USA) 1990,164077,GIN AQUA (NZ) 1992
Last Laugh (AUS),194211,7,h,Richard Collett,Pukekohe Park,182306,PERSONAL HOPE (USA) 1990,194215,MADAME MONET (AUS) 1977
Stark Inn,204549,5,g,Murray Baker,Cambridge,175309,STARK SOUTH (USA) 1988,97418,HARBOUR INN (NZ) 1986
Love Fly Her,193688,6,m,Moira Murdoch,Pukekohe Park,175309,STARK SOUTH (USA) 1988,110685,LAVERDA (NZ) 1987
Class Jewel,208962,4,m,Mark Brosnan,Matamata,167576,MASTERCLASS (USA) 1988,165995,SATONDA (NZ) 1992
Loadmaster,195470,6,g,Bill & Mark Weal,Te Awamutu,148999,HEY BABA RIBA (NZ) 1990,162428,WARD'S SISTER (NZ) 1992
Dulcetto,197106,6,m,Richard Dee & Matthew Dixon,Cambridge,186137,HOUSEBUSTER (USA) 1987,155669,BUDDING SUCCESS (NZ) 1991
La Copine,210779,4,m,J A Gibbs,Matamata,172521,O'REILLY (NZ) 1993,165406,YVOIRE (NZ) 1992
O'Faumore,211581,4,h,M W Walker,Matamata,7032,CENTAINE (AUS) 1980,168051,COMTESE DE LALANDE (NZ) 1992
The Dynamo,212724,4,g,Carl & Lisa Gately,Cambridge,173332,DESERT SUN (GB) 1988,20403,KHANATE (NZ) 1985
Django,196633,6,g,Wayne & Tony Pike,Cambridge,167579,HONOR GRADES (USA) 1988,26538,MODINKA (NZ) 1980
