<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",315778,14,12,"Spirited Away","4","m",55.00,14,1.37.34,0.51.12,50.70," ","Shaune Ritchie","Cambridge",20.60,0.00,0.00,"Matthew Cameron",55.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers",287689,"MAKFI (GB) 2007",277427,"CINEMASCOPE (AUS) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197455,6,,Flat,1320,"Rating 65 Benchmark*","AJC MEMBERS 1320",10000.00,15:03:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Showery",302864,15,2,"Critics Choice","5","g",55.50,4,1.28.41,0.42.00,2.70," HEAD","Kevin Dell","Byerley Park",30.70,0.00,500.00,"Christopher Dell",55.50,0.00,56,0,0,"Approved Plates, Lugging Bit, Blinkers",278240,"BUFFALO MAN (CAN) 2004",240928,"CRITIQUE (NZ) 2004",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",307042,1,9,"Solmization","5","g",62.50,7,1.21.23,0.41.36,5.00," ","Danny Walker","Byerley Park",12.30,0.00,0.00,"Rebecca Scott",58.50,4.00,75,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",232627,"LA MUSICA (AUS) 1998",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",363562,2,7,"Fortune Patch (AUS)","6","g",59.50,3,1.20.68,0.41.22,2.00," 1/2 LEN","Lance O'Sullivan & Andrew Scott","Matamata",17.20,4.20,1100.00,"Taiki Yanagida",55.50,4.00,69,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",238766,"NOT A SINGLE DOUBT (AUS) 2001",363564,"HAMPTON ROVER (USA) 2001",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",283822,3,3,"Az Given","7","m",59.00,5,1.21.10,0.41.76,4.30," HEAD","Lisa Anderson","Matamata",13.70,0.00,275.00,"Andrew Calder",59.00,0.00,72,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Tongue Tie",264430,"ANY GIVEN SATURDAY (USA) 2004",247756,"AZAMARA (NZ) 2005",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",351051,4,4,"Just For Kicks","5","g",58.50,8,1.21.54,0.41.70,6.70," ","Mark Brosnan","Matamata",21.30,0.00,0.00,"Darren Danis",55.50,3.00,67,0,0,"Approved Plates, Lugging Bit",238708,"CAPTAIN RIO (GB) 1999",181432,"WILD PRINCESS (NZ) 1994",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",331491,5,2,"Midnight Runner","3","g",58.50,2,1.20.65,0.41.66,1.80," HEAD","Peter & Dawn Williams","Byerley Park",5.10,2.30,2200.00,"Tayla Wenn",55.50,3.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",258606,"JIMMY CHOUX (NZ) 2007",256555,"IN THE MIDNIGHT (AUS) 2000",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",323287,6,11,"Saignon","4","m",57.00,10,1.23.00,0.42.96,14.80," ","Team Rogerson","Tuhikaramea",24.60,0.00,0.00,"Ryan Elliot",56.00,1.00,68,0,0,"Approved Plates, Lugging Bit",244799,"DUELLED (AUS) 2002",203040,"ROSA MARADA (NZ) 1998",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",291903,7,10,"Lupelani","6","m",56.50,1,1.20.32,0.40.39,," 1 3/4 LEN","Nigel Tiley","Pukekohe",4.80,1.70,6875.00,"Samantha Collett",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",241392,"NOM DU JEU (NZ) 2004",215343,"LA PUCELLE (NZ) 2000",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",336102,8,5,"Style By Design","3","f",56.50,4,1.20.80,0.41.14,2.50," 1 3/4 LEN","Ralph Manning","Cambridge",14.10,0.00,550.00,"Vinnie Colgan",56.50,0.00,67,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",254534,"CHAPARELLA (NZ) 2006",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",335685,9,6,"Le Brassus","3","g",56.50,9,1.21.55,0.42.40,6.80," ","Mark Brooks","Cambridge",5.70,0.00,0.00,"Wiremu Pinn",53.50,3.00,63,0,0,"Approved Plates, Tongue Control Bit (1st time)",300510,"BULLBARS (AUS) 2007",244152,"BLANCPAIN (NZ) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",331068,10,8,"So Much Mour","3","g",56.50,11,1.24.87,0.45.16,25.20," ","Brendon Hawtin","Te Awamutu",0.00,0.00,0.00,"Sam Spratt",56.50,0.00,63,0,0,"Approved Plates, Lugging Bit",269429,"AZAMOUR (IRE) 2001",202045,"SONET (NZ) 1998",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",331068,10,8,"So Much Mour","3","g",56.50,11,1.24.87,0.45.16,25.20," ","Brendon Hawtin","Te Awamutu",4.70,0.00,0.00,"Sam Spratt",56.50,0.00,63,0,0,"Approved Plates, Lugging Bit",269429,"AZAMOUR (IRE) 2001",202045,"SONET (NZ) 1998",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197453,7,,Flat,1200,"Rating 70 Benchmark","WESTBROOK.CO.NZ 1200",11000.00,15:37:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Heavy",11,"Showery",320103,12,1,"Bewitched","4","m",54.00,6,1.21.15,0.42.22,4.50," ","Peter & Jessica Brosnan","Matamata",32.90,0.00,0.00,"Lynsey Satherley",54.00,0.00,57,0,0,"Approved Plates, Lugging Bit",262402,"ANY SUGGESTION (AUS) 2001",228705,"DAHLING (NZ) 2002",
