<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",306515,1,8,"Roger That","5","g",61.00,3,2.20.21,,2.20," 2 1/4 LEN","Antony Fuller","Tauranga",5.20,1.70,1100.00,"Jordan Nason",59.00,2.00,77,0,0,"Approved Plates, Lugging Bit",199454,"SHINKO KING (IRE) 1991",247474,"HEATHER LYN (NZ) 2005",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",307567,2,5,"Lucky Sweep","5","g",57.50,6,2.21.00,,7.00," ","Stephen McKee","Ardmore",10.00,0.00,0.00,"Sam Spratt",57.50,0.00,70,0,0,"Approved Plates, Lugging Bit, Side Winkers",241092,"ALAMOSA (NZ) 2004",222920,"FELLOWSHIP (AUS) 1995",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",291174,3,9,"Whopper's","6","g",57.00,10,2.25.17,,29.30," ","Noel Allen","Byerley Park",8.40,0.00,0.00,"Vinnie Colgan",57.00,0.00,69,0,0,"Approved Plates, Hoof Pads (Front) on, Lugging Bit, Blinkers, Nasal Strip",262402,"ANY SUGGESTION (AUS) 2001",210917,"MARINA (NZ) 1999",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",311014,4,3,"Pythagoras","5","g",56.00,8,2.23.65,,21.10," ","Mark Lupton","Matamata",18.40,0.00,0.00,"Shaun McKay",56.00,0.00,67,0,0,"Approved Plates, Lugging Bit",193564,"PENTIRE (GB) 1992",209404,"POLKA (NZ) 1999",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",320516,5,10,"Rocking Good Time","4","g",56.00,9,2.23.92,,22.60," ","Ralph Manning","Cambridge",11.00,0.00,0.00,"Matthew Cameron",56.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",242640,"ROC DE CAMBES (NZ) 2004",256978,"A FLAMINGOOD TIME (NZ) 2007",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",314997,6,4,"Cool Cassie","5","m",54.50,7,2.23.22,,18.80," ","Nadine Kelly","Te Aroha",7.40,0.00,0.00,"Amber Sims",51.50,3.00,68,0,0,"Approved Plates, Lugging Bit",250272,"CASTLEDALE (IRE) 2001",237620,"COOL MAGIC (NZ) 2003",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",287538,7,2,"Suggestive Heights","7","m",54.50,2,2.19.87,,0.20," 2 LEN","Simon Rees","Morrinsville",42.30,9.60,2200.00,"Lynsey Satherley",54.50,0.00,68,0,0,"Approved Plates, Lugging Bit",262402,"ANY SUGGESTION (AUS) 2001",217705,"SPLIT THE NIGHT (NZ) 2000",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",313782,8,1,"Delegate","5","g",54.50,1,2.19.81,0.42.20,," SHORT NECK","Shaun & Emma Clotworthy","Byerley Park",14.70,3.90,6875.00,"Samantha Collett",54.50,0.00,64,0,0,"Approved Plates, Standard Bit, Blinkers",277609,"RAISE THE FLAG (GB) 2005",244017,"RIVER BEAR (NZ) 2004",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",307421,9,7,"Blackmagicwoman","5","m",54.00,5,2.20.60,,4.70," 2 1/4 LEN","Shaune Ritchie","Cambridge",4.00,0.00,275.00,"Eilish McCall",50.00,4.00,67,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",247914,"EBONY AND IVORY (NZ) 2005",
46658,2018-07-11,2,"Avondale","Industry","Race","Avondale J.C.","AVONDALE JC 11 JUL","Heavy",11,"Showery","Out 7m | 14mm rain last week | 1mm rain last 24 hrs",197454,3,,Flat,2000,"Rating 75 Benchmark","WEST BROOK WINERY 2000",11000.00,13:17:00,"N",,"Unrestricted","Rating 75","unrestricted","hcp","Heavy",11,"Showery",364053,10,6,"Gabriel","4","g",54.00,4,2.20.57,,4.50," HEAD","Grant Tucker","Karioitahi Beach",6.40,0.00,550.00,"Tayla Wenn",51.00,3.00,63,0,0,"Approved Plates, Lugging Bit",254654,"MAN OF POWER (AUS) 2005",230646,"ANGEL BREEZE (NZ) 2002",
