<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",392456,11,5,"Royal Roc","2","f",55.50,4,1.03.27,0.34.92,6.90," SHORT HEAD","Stephen Marsh","Cambridge",44.00,0.00,400.00,"Sam Weatherley",55.50,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",287992,"EL ROCA (AUS) 2010",286954,"PALACE CROWN (AUS) 2010",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210121,2,,Flat,1050,"MDN 2YO","NZB INSURANCE PEARL SERIES RACE",10000.00,13:11:00,"N",,"2yo","Maiden","unrestricted","sw","Slow",8,"Overcast",384367,12,9,"Weeroca","2","f",55.50,P,,,," ","Trevor Da Cruz","Cambridge",65.20,0.00,200.00,"Jasmine Fawcett",55.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Ear Covers",287992,"EL ROCA (AUS) 2010",230820,"PIN A FOUR (NZ) 2002",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",358180,5,2,"Cubic Moon","4","m",56.50,3,1.13.15,0.35.57,5.50," 1 1/4 LEN","Stephen Marsh","Cambridge",33.50,4.30,700.00,"Craig Grylls",56.50,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",349848,"RUBICK (AUS) 2011",339234,"GALILEAN MOON (AUS) 2006",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",374183,6,1,"Felicienne","3","f",56.00,2,1.12.40,0.34.90,0.50," 5 LEN","Jamie Richards","Matamata",2.70,1.10,1500.00,"Michael McNab",56.00,0.00,53,0,0,"Barrier Blindfold, Ear Covers Pre-Race, Approved Plates, Lugging Bit, Visor Blinkers (1st time), Tongue Tie",238456,"SAVABEEL (AUS) 2001",292314,"FLAVIGNY (NZ) 2011",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",371971,7,8,"Aunt Cindy","3","f",56.00,4,1.13.35,0.36.33,6.80," 1 1/2 LEN","Stephen McKee","Ardmore",12.00,0.00,400.00,"Sam Spratt",56.00,0.00,52,0,0,"Approved Plates, Lugging Bit",265282,"OCEAN PARK (NZ) 2008",251394,"SUNALTA (AUS) 2006",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",397099,8,5,"Oseleta (AUS)","3","f",56.00,1,1.12.31,0.35.09,," 1/2 LEN","Stephen Marsh","Cambridge",1.80,1.00,5400.00,"Danielle Johnson",56.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Nasal Strip, Tongue Tie",345678,"DEEP FIELD (AUS) 2010",189238,"RIESLING (NZ) 1996",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",366158,9,7,"Lady Performer","3","f",56.00,6,1.13.71,0.36.09,9.10," ","Gary Hennessy","Matamata",11.90,0.00,200.00,"Jasmine Fawcett",56.00,0.00,47,0,0,"Approved Plates, Lugging Bit",271956,"SACRED FALLS (NZ) 2009",326677,"PEAK PERFORMER (AUS) 2011",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",377604,10,6,"Got The Moves","3","f",56.00,7,1.14.44,0.36.50,13.70," ","Rudy Liefting","Pukekohe Park",57.20,0.00,200.00,"Lynsey Satherley",56.00,0.00,45,0,0,"Approved Plates, Lugging Bit",275174,"MOVE FASTER (NZ) 2009",324199,"SKYEWITHDIAMONDS (AUS) 2007",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",372846,11,4,"Payon Time","3","f",56.00,5,1.13.55,0.35.90,8.30," 3/4 LEN","Daniel Miller","Matamata",24.30,0.00,200.00,"Shaun McKay",56.00,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",268640,"SUPER EASY (NZ) 2008",324604,"NEAR TIME (GB) 2010",
49704,2021-03-31,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 31 MAR","Slow",8,"Overcast","Out 9m | 5mm Rain Last 24 Hours | 2mm Rain Overnight | Heavy Rain Forecast",210116,3,,Flat,1200,"MDN","AUTO SUPER SHOPPE MATAMATA 1200",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",8,"Overcast",367836,12,3,"What A Pearla","3","f",56.00,8,1.16.19,0.38.63,24.60," ","Tarissa Macdonald","Cambridge",47.10,0.00,200.00,"Callum Jones",53.00,3.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit",313563,"HIGHLY RECOMMENDED (AUS) 2008",262838,"DARK FLAME (AUS) 2007",
