<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",342847,11,10,"Manhatten Affair","5","m",66.50,3,1.40.99,0.34.63,0.70," LONG HEAD","Chris Rauhihi","Foxton",12.00,3.30,700.00,"Stephan Karnicnik",64.50,2.00,62,0,0,"Approved Plates, Standard Bit",313325,"POWER (GB) 2009",260857,"CLASSY BAWN (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",327696,12,4,"Beau Geste","6","g",66.50,4,1.41.01,0.34.37,0.90," 3/4 LEN","Kevin Myers","Wanganui",44.00,0.00,400.00,"Kayla Macnab",64.50,2.00,58,0,0,"Approved Plates, Lugging Bit, Tongue Tie",300680,"POUR MOI (IRE) 2008",211858,"VILLA WANDA (GB) 1996",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210402,2,,Flat,1600,"Rating 65 Benchmark & JMPS HWT*","FARMLANDS PAHIATUA 1600",10000.00,12:19:00,"N",65.00,"Unrestricted","Rating 65","unrestricted","hwt","Dead",5,"Fine",346311,14,12,"Wine n' Dine","5","m",65.00,8,1.41.40,0.34.40,3.50," ","John Wheeler","New Plymouth",17.10,0.00,200.00,"Emily Farr",65.00,0.00,59,0,0,"Approved Plates, Standard Bit, Nose Band",261934,"NADEEM (AUS) 2003",236733,"IMA LADY (NZ) 2003",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",322114,1,8,"Raucous","7","g",58.50,8,1.39.69,0.36.40,8.50," ","Paul Nelson & Corrina McDougal","Hastings",10.80,0.00,200.00,"Kate Hercock",58.50,0.00,54,59,0,"Approved Plates, Lugging Bit, Tongue Tie",241392,"NOM DU JEU (NZ) 2004",200425,"DIZZIE LIMIT (NZ) 1998",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",360237,3,3,"Inmyshadow","4","g",58.50,1,1.38.30,0.35.45,," 4 1/2 LEN","Ashley Meadows","Awapuni",1.90,1.30,5400.00,"Ryan Elliot",58.50,0.00,51,0,0,"Approved Plates, Lugging Bit",273123,"FERLAX (NZ) 2009",326279,"REGARDED (AUS) 2006",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",346908,4,14,"Marksman","5","g",58.50,9,1.40.32,0.37.59,12.50," ","Barry Beatson","Dannevirke",10.90,0.00,200.00,"Chris Dell",58.50,0.00,48,0,0,"Approved Plates, Standard Bit, Nasal Strip (1st time), Nose Band on, Tongue Tie (1st time)",242640,"ROC DE CAMBES (NZ) 2004",233020,"BOOGIE NIGHTS (AUS) 2003",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",360877,5,13,"Red Sunday","4","g",58.50,10,1.40.45,0.36.92,13.30," ","Guy Lowry & Grant Cullen","Hastings",37.50,0.00,200.00,"Danielle Hirini",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",344096,"HALLOWED CROWN (AUS) 2011",350288,"LINGERIE MODEL (AUS) 2009",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",376913,6,7,"Ronin Porotene","3","g",58.00,6,1.39.27,0.36.26,6.00," ","Trudy Keegan","Stratford",9.70,0.00,200.00,"Sarah Macnab",58.00,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",258606,"JIMMY CHOUX (NZ) 2007",312816,"POROTENE DIVA (AUS) 2011",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",367769,7,12,"Aljay","3","g",58.00,2,1.39.02,0.35.61,4.50," 1/2 NECK","Kevin Myers","Wanganui",17.70,4.10,1500.00,"Faye Lazet",54.00,4.00,47,0,0,"Approved Plates, Lugging Bit",264625,"ROCK 'N' POP (AUS) 2008",194599,"ALBACORA (NZ) 1997",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",358726,8,9,"Te Awe Awe","4","m",56.50,3,1.39.06,0.36.45,4.70," LONG NECK","Jeff Lynds","Awapuni",11.80,2.80,700.00,"Johnathan Parkes",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Nose Band",226925,"ZED (NZ) 2002",208380,"LUSCIOUS LADY (NZ) 1999",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",395061,9,11,"Luvaphyta","5","m",56.50,13,1.41.26,0.37.09,18.70," ","Mark Goodwin","Levin",50.30,0.00,200.00,"Ashvin Mudhoo",53.50,3.00,45,0,0,"Approved Plates, Lugging Bit",301053,"CAPE BLANCO (IRE) 2007",175791,"BALLERMOSS (NZ) 1994",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",317637,10,2,"Tigerbee","7","m",56.50,5,1.39.15,0.37.02,5.20," 3/4 LEN","Erin Hocquard","Waverley",46.40,0.00,200.00,"Jasmine Fawcett",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",277655,"TIGER PRAWN (SAF) 2002",252713,"PEMBEE (NZ) 2006",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",368609,11,1,"It's Margo","3","f",56.00,4,1.39.13,0.36.28,5.10," SHORT HEAD","Allan Sharrock","New Plymouth",12.80,0.00,400.00,"Hazel Schofer",56.00,0.00,45,0,0,"",258606,"JIMMY CHOUX (NZ) 2007",225813,"MIA BAMBINO (NZ) 2001",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",375230,12,4,"Milly Khan","3","f",56.00,12,1.40.61,0.37.48,14.40," ","Lisa Latta","Awapuni",60.80,0.00,200.00,"Temyia Taiaroa",53.00,3.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",300491,"MONGOLIAN KHAN (AUS) 2011",260915,"NOTHING BUT A GRIN (NZ) 2007",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",373154,13,10,"One To Die For","3","f",56.00,11,1.40.59,0.37.90,14.30," ","Kevin Gray","Copper Belt Lodge, Palmerston North",12.70,0.00,200.00,"Lisa Allpress",56.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Brow Band",248656,"TAVISTOCK (NZ) 2005",312889,"FATAL ATTRACTION (AUS) 2000",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",210405,3,,Flat,1600,"MDN","3 RUN GUNS 1600",10000.00,12:54:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",376286,14,5,"Pinsk","3","f",56.00,7,1.39.36,0.35.35,6.50," ","John Wheeler","New Plymouth",65.30,0.00,200.00,"Diego Montes de Oca",55.00,1.00,45,0,0,"Approved Plates, Tongue Control Bit, Barrier Blanket",211629,"PINS (AUS) 1996",253310,"PRINCESSABEEL (NZ) 2006",
49723,2021-04-22,4,"Woodville","Industry","Race","Woodville-Pahiatua RC","WOODVILLE-PAHIATUA 22 APR","Dead",5,"Fine","True | Heavy Dew",211998,4,,Flat,1600,"MDN","BREMNER AG 1600",10000.00,13:29:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",361906,1,4,"Justaskpercy","4","g",58.50,4,1.40.67,0.34.64,0.30," 1 1/4 LEN","Suzy Gordon","Foxton",4.60,0.00,400.00,"Ashvin Mudhoo",55.50,3.00,52,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",211629,"PINS (AUS) 1996",278627,"MY FIANCEE (AUS) 2009",
