<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",346703,5,9,"Kirkenes (AUS)","6","g",68.00,P,,,," ","John Wheeler","New Plymouth",11.30,0.00,0.00,"Emily Farr",68.00,0.00,57,50,50,"Approved Plates, Lugging Bit, Nose Band (1st time)",215858,"ENCOSTA DE LAGO (AUS) 1993",346704,"BELLERAMA (AUS) 2008",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",338273,6,10,"Little Macs","5","g",68.00,3,4.59.16,,5.60," 8 1/2 LEN","Kevin Myers","Wanganui",5.30,1.80,1000.00,"Toni Moki",65.00,3.00,47,57,50,"Approved Plates, Lugging Bit",287683,"RIP VAN WINKLE (IRE) 2006",249404,"FIRST OF MAY (GB) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",326463,7,8,"Manhattan Street (AUS)","6","g",68.00,P,,,," ","Lisa Latta","Awapuni",12.90,0.00,0.00,"Shaun Fannin",68.00,0.00,67,56,50,"Approved Plates, Lugging Bit",287812,"MANHATTAN RAIN (AUS) 2006",323729,"CHARMING ESTELLE (AUS) 2008",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",293658,8,3,"Porotene Magnum","8","g",68.00,P,,,," ","Ken Duncan","Hunterville",80.10,0.00,0.00,"Lemmy Douglas",65.00,3.00,55,50,50,"Approved Plates, Lugging Bit, Boots",172521,"O'REILLY (NZ) 1993",203394,"POROTENE EXPRESS (NZ) 1998",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",311987,10,4,"Mandalay","7","m",66.00,2,4.58.32,,0.80," 4 3/4 LEN","Kevin Myers","Wanganui",11.00,2.70,2000.00,"Aaron Kuru",66.00,0.00,58,55,57,"Approved Plates, Lugging Bit, Boots, Tongue Tie",287687,"SHOWCASING (GB) 2007",236006,"SOMETIMES (NZ) 2003",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",350444,11,2,"Breky At Tiffanys","7","m",66.00,P,,,," ","Ken Duncan","Hunterville",54.30,0.00,0.00,"Buddy Lammas",66.00,0.00,45,50,50,"Approved Plates, Lugging Bit, Boots",247182,"EIGHTH WONDER (NZ) 2005",209304,"VEXTRA (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",203554,3,,Steeple,3800,"MDN STP","SPOONERS DRY CLEANERS MDN STPL 3800",10000.00,12:45:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Fine",334915,12,6,"Mrs Twinkletoes","5","m",66.00,4,5.00.66,,14.10," 12 1/2 LEN","Jo Rathbone","Wanganui",15.80,0.00,500.00,"Mathew Gillies",66.00,0.00,48,50,50,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",265223,"HEAD GIRL (AUS) 2003",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204311,4,,Steeple,4100,"RST OPN STP","JOLT COFFEE HOUSE WANGANUI STEEPLECHASE 4100",20000.00,13:20:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Heavy",11,"Fine",273646,1,1,"Wise Men Say","10","g",71.50,3,5.33.18,,12.50," 6 3/4 LEN","Raymond Connors","Wanganui",6.90,0.00,2000.00,"Isaac Lupton",71.50,0.00,58,69,96,"Approved Plates, Lugging Bit, Boots",149270,"YAMANIN VITAL (NZ) 1990",153461,"VAGUELY FAMOUS (NZ) 1991",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204311,4,,Steeple,4100,"RST OPN STP","JOLT COFFEE HOUSE WANGANUI STEEPLECHASE 4100",20000.00,13:20:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Heavy",11,"Fine",270695,2,6,"Crash Bandicoot","11","g",68.50,2,5.31.50,,3.00," 9 1/2 LEN","Kevin Myers","Wanganui",3.80,1.80,4000.00,"Kayla Veenendaal",67.50,1.00,59,56,87,"Approved Plates, Standard Bit, Boots",173637,"CASUAL LIES (USA) 1989",222959,"MINION (NZ) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204311,4,,Steeple,4100,"RST OPN STP","JOLT COFFEE HOUSE WANGANUI STEEPLECHASE 4100",20000.00,13:20:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Heavy",11,"Fine",276037,3,7,"I've Got This","10","g",67.50,4,5.34.35,,19.30," 1/2 LEN","Kevin Myers","Wanganui",8.70,0.00,1000.00,"Shaun Fannin",67.50,0.00,55,51,85,"Approved Plates, Lugging Bit, Boots",253420,"CASINO PRINCE (AUS) 2003",208916,"LOUDERS (NZ) 1999",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204311,4,,Steeple,4100,"RST OPN STP","JOLT COFFEE HOUSE WANGANUI STEEPLECHASE 4100",20000.00,13:20:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Heavy",11,"Fine",258531,4,2,"The Oysterman","12","g",65.00,P,,,," ","Stephen Nickalls","Palmerston North",14.80,0.00,0.00,"Timothy Johnson",62.00,3.00,45,50,79,"Approved Plates, Standard Bit, Bandages, Boots, Nasal Strip",149270,"YAMANIN VITAL (NZ) 1990",216068,"CLEAR AS A BELL (NZ) 2000",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204311,4,,Steeple,4100,"RST OPN STP","JOLT COFFEE HOUSE WANGANUI STEEPLECHASE 4100",20000.00,13:20:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Heavy",11,"Fine",273339,5,4,"Old Countess","10","m",65.00,1,5.30.96,,," 3 LEN","Peter & Jessica Brosnan","Matamata",6.10,2.40,12500.00,"Buddy Lammas",65.00,0.00,45,65,75,"Hoof Pads, Lugging Bit, Boots, Nose Band",226925,"ZED (NZ) 2002",191987,"THE GOVERNESS (NZ) 1996",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204311,4,,Steeple,4100,"RST OPN STP","JOLT COFFEE HOUSE WANGANUI STEEPLECHASE 4100",20000.00,13:20:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Heavy",11,"Fine",307231,6,5,"Coconut","7","g",65.00,5,5.34.45,,19.80," ","Stephen Nickalls","Palmerston North",2.50,0.00,500.00,"Mathew Gillies",65.00,0.00,45,0,69,"Approved Plates, Standard Bit, Bandages, Boots, Nasal Strip",241392,"NOM DU JEU (NZ) 2004",224232,"GOOD REASON (NZ) 2001",
48445,2019-08-18,6,"Wanganui","Industry","Race","Wanganui JC","WANGANUI JC 18 AUG","Heavy",11,"Fine","Out 4m On Bends | Out 6m On Straights | 41mm Last 7 Days | 3mm Rain Overnight",204311,4,,Steeple,4100,"RST OPN STP","JOLT COFFEE HOUSE WANGANUI STEEPLECHASE 4100",20000.00,13:20:00,"N",65.00,"Unrestricted","Restr Open","unrestricted","hcp","Heavy",11,"Fine",287546,8,3,"Infoxicated","9","g",65.00,P,,,," ","Dean Cunningham","Marton",29.90,0.00,0.00,"Lemmy Douglas",62.00,3.00,62,50,50,"Approved Plates, Standard Bit (1st time), Blinkers, Bandages, Boots",236672,"METTRE EN JEU (NZ) 2003",220280,"CLASSIC ALLURE (AUS) 1992",
