<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",325300,7,1,"The Kipling Girl (AUS)","7","m",57.50,10,2.26.83,0.43.10,12.00," ","Scott Wenn","Te Aroha",17.90,0.00,0.00,"Shaun McKay",57.50,0.00,71,0,0,"Approved Plates, Lugging Bit, Blinkers",244646,"HIGH CHAPARRAL (IRE) 1999",325301,"MRS KIPLING (AUS) 2006",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",318716,8,3,"Pursued","6","g",56.50,1,2.24.34,0.41.77,," SHORT HEAD","Paul Gordon","Te Aroha",5.50,2.10,15625.00,"Ashvin Goindasamy",53.50,3.00,65,0,0,"Approved Plates, Lugging Bit, Blinkers, Ear Covers, Tongue Tie",242513,"GUILLOTINE (NZ) 2004",237380,"COURTING (NZ) 2003",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",337491,9,6,"Heavenly Gold","6","m",55.50,15,2.28.85,0.44.17,21.20," ","Peter & Jessica Brosnan","Matamata",27.40,0.00,0.00,"Anna Jones",55.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Bandages (1st time)",300392,"ECHOES OF HEAVEN (AUS) 2007",172343,"MIGHTY GOLD (NZ) 1993",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",313782,10,12,"Delegate","7","g",55.50,9,2.26.61,0.42.43,11.00," ","Shaun & Emma Clotworthy","Byerley Park",15.70,0.00,0.00,"Darren Danis",53.50,2.00,63,73,0,"Approved Plates, Standard Bit, Nose Band",277609,"RAISE THE FLAG (GB) 2005",244017,"RIVER BEAR (NZ) 2004",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",317534,11,2,"Red John","6","g",55.50,7,2.25.40,0.41.54,5.50," ","Hilary Pryce","Tauranga",15.90,0.00,0.00,"Andrew Calder",55.50,0.00,63,0,0,"Approved Plates, Lugging Bit, Tongue Tie",278350,"RED GIANT (USA) 2004",266595,"JEAB (AUS) 2002",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",282623,12,14,"Bay Rocker","9","g",55.00,4,2.24.78,0.41.94,2.30," 1 3/4 LEN","Craig and Shaun Phelan","Cambridge",53.20,0.00,1250.00,"Chelsea Burdan",52.00,3.00,62,74,59,"Approved Plates, Lugging Bit on, Blinkers on, Nasal Strip (1st time), Nose Band (1st time)",203711,"DON EDUARDO (NZ) 1998",220179,"LIGHTNING LASS (NZ) 2001",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",324006,13,10,"Silk","6","m",54.50,6,2.25.13,0.42.00,4.30," ","John Bell","Cambridge",25.50,0.00,0.00,"Donavan Mansour",54.50,0.00,65,0,0,"Approved Plates, Standard Bit",193564,"PENTIRE (GB) 1992",254707,"DE'COLLETAGE (NZ) 2006",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",300037,14,13,"Borninasandpit","8","m",54.00,13,2.27.93,0.43.39,17.00," ","Graham Thomas","Cambridge",37.00,0.00,0.00,"Lynsey Satherley",54.00,0.00,61,79,0,"Approved Plates, Lugging Bit, Tongue Tie",209726,"ISTIDAAD (USA) 1992",233054,"TOOGOODTOBETRUE (NZ) 2003",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",328475,15,15,"Lady Azamour","5","m",54.00,11,2.27.07,0.42.77,13.10," ","Peter & Dawn Williams","Byerley Park",14.60,0.00,0.00,"Taiki Yanagida",53.00,1.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",269429,"AZAMOUR (IRE) 2001",255624,"CHASING MAMMON (AUS) 2005",
48440,2019-08-10,2,"Pukekohe Park","Feature","Race","Counties RC","COUNTIES RC 10 AUG","Heavy",11,"Showery","True | 70mm Rain Last 7 Days | 4mm Rain Last 24 Hours | Further Rain Forecast",203186,2,,Flat,2100,"Rating 72 Benchmark","MOUNT SHOP 2100",25000.00,12:15:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Showery",322453,16,11,"Century Miss","6","m",54.00,12,2.27.29,0.43.37,14.10," ","Graham Thomas","Cambridge",19.60,0.00,0.00,"Sam Spratt",54.50,-0.50,59,0,0,"Approved Plates, Lugging Bit, Side Winkers",278104,"MASTERCRAFTSMAN (IRE) 2006",260586,"NEXT CENTURY (NZ) 2007",
