<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",332355,5,7,"Tennessee Rose","4","m",56.50,9,1.15.49,0.39.30,28.20," ","Kevin Gray","Copper Belt Lodge, Palmerston North",9.90,0.00,0.00,"Lisa Allpress",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",287687,"SHOWCASING (GB) 2007",271306,"SAVANNAH RAIN (AUS) 1997",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",330806,6,3,"Bae Corp","4","m",56.50,7,1.12.55,0.36.66,9.20," ","Ilone Kelly","Levin",13.10,0.00,0.00,"Zinjete Moki",54.50,2.00,46,0,0,"Approved Plates, Standard Bit",278342,"THEWAYYOUARE (USA) 2005",250815,"PROMPT PAYMENT (IRE) 1998",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",332391,7,9,"Craftyaffair","4","m",56.50,2,1.11.29,0.35.62,0.80," 3/4 LEN","Emma-Lee & David Browne","Cambridge",21.60,5.00,2000.00,"Samantha Collett",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",278104,"MASTERCRAFTSMAN (IRE) 2006",247551,"GENAFFAIR (NZ) 2005",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",348395,8,5,"A Little Vague","3","f",56.00,6,1.12.01,0.36.68,5.70," ","Nigel Auret","Wanganui",8.60,0.00,0.00,"Leah Hemi",56.00,0.00,51,0,0,"Approved Plates, Lugging Bit",242513,"GUILLOTINE (NZ) 2004",254557,"OH SO VAGUE (NZ) 2006",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201343,3,,Flat,1200,"MDN","RAYNER BUILDING/RAYNER DECORATING 1200",10000.00,16:06:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",4,"Fine",345206,9,8,"Glide Queen","3","f",56.00,5,1.11.83,0.36.99,4.40," 1 1/4 LEN","Matthew Eales","Awapuni",12.90,0.00,250.00,"Rosie Myers",56.00,0.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",243180,"TAI CHI QUEEN (NZ) 2004",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",344809,1,8,"Kapinos","3","g",57.50,1,1.11.89,0.35.08,," 1 LEN","Roydon Bergerson","Awapuni",1.60,1.00,6250.00,"Lisa Allpress",57.50,0.00,54,0,0,"Approved Plates, Lugging Bit",238456,"SAVABEEL (AUS) 2001",260400,"KARLA BRUNI (NZ) 2007",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",346547,2,6,"Broadway Brawler","3","g",57.50,5,1.12.43,0.35.23,3.80," 1/2 LEN","Janelle Millar","New Plymouth",10.30,0.00,250.00,"Sarah MacNab",55.50,2.00,51,0,0,"Approved Plates, Standard Bit",211629,"PINS (AUS) 1996",190557,"HEARTACHE (NZ) 1996",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",341591,3,7,"Answer My Prayer","3","c",57.50,7,1.12.62,0.35.74,5.10," ","Kevin Gray","Copper Belt Lodge, Palmerston North",12.10,0.00,0.00,"Johnathan Parkes",57.50,0.00,50,0,0,"Approved Plates, Butterfly Bit, Nose Band",296456,"DIAL A PRAYER (NZ) 2011",259540,"TEN BELLES (NZ) 2007",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",345996,4,3,"Lincoln Hanover","3","g",57.50,3,1.12.03,0.35.14,1.10," 2 1/2 LEN","Lisa Latta","Awapuni",16.70,3.50,1000.00,"Robert Hannam",57.50,0.00,46,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",270392,"PRINCESS LINCOLN (AUS) 2008",
47503,2019-03-01,4,"Awapuni","Industry","Race","Marton JC","MARTON JC 1 MAR","Dead",4,"Fine","Out 2m On Home Turn | Remainder Out 6m | 5mm Irrigation last night",201344,4,,Flat,1200,"MDN 3YO","HR JONES 1200",10000.00,16:44:00,"N",,"3yo","Maiden","unrestricted","sw","Dead",4,"Fine",340206,5,1,"Ace Royale","3","c",57.50,2,1.12.02,0.34.68,1.00," NOSE","John Kiernan","Levin",9.10,2.20,2000.00,"Sam O'Malley",55.00,2.50,45,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",227522,"CRISS CROSS (NZ) 2002",
