<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",318948,5,2,"Nightcap","5","m",54.00,5,1.13.53,0.37.10,2.60," ","Robert Dennis","Woodlands",8.60,0.00,375.00,"Brett Murray",52.00,2.00,79,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",274357,"STREETS AHEAD (NZ) 2009",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",276250,6,8,"Five Kings","9","g",54.00,6,1.13.61,0.36.80,3.10," ","Bruce Tapper","Timaru",14.80,0.00,0.00,"Rahul Beeharry",51.00,3.00,77,0,0,"Approved Plates, Lugging Bit, Blinkers",199454,"SHINKO KING (IRE) 1991",241387,"TATS MY GIRL (NZ) 2004",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",291753,7,3,"Friar Tuck","7","g",54.00,4,1.13.51,0.36.97,2.40," HEAD","Barry Howden","Makarewa",4.80,0.00,750.00,"Kavish Chowdhoory",52.50,1.50,71,0,0,"Approved Plates, Tongue Control Bit, Nasal Strip",238708,"CAPTAIN RIO (GB) 1999",222242,"MISS MONK (NZ) 2001",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201440,3,,Flat,1200,"OPN HCP","HILLSIDE METALS FIRESIDE CUP",15000.00,13:13:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Dead",5,"Fine",304016,8,1,"Tickets On Her","6","m",54.00,2,1.13.18,0.36.83,0.30," 3/4 LEN","Maurice Forde","Riverton",24.80,5.60,3000.00,"Gosen Jogoo",53.00,1.00,67,0,0,"Barrier Blindfold, Approved Plates, Lugging Bit, Side Winkers",300896,"TICKETS (AUS) 2006",300618,"CUPCAKES (AUS) 2005",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",323652,1,9,"Port Stephens","5","g",58.50,5,1.23.84,0.37.77,2.30," ","Sally McKay","Ascot Park",21.00,0.00,250.00,"Daniel Bothamley",58.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time), Boots (1st time)",277609,"RAISE THE FLAG (GB) 2005",194531,"POPETA (NZ) 1997",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",328976,2,4,"Poilu","4","g",58.50,7,1.24.08,0.38.10,3.90," ","Steven Prince","Wingatui",17.80,0.00,0.00,"Chris Johnson",58.50,0.00,45,0,0,"Approved Plates, Standard Bit, Ear Covers",261934,"NADEEM (AUS) 2003",178472,"SNOBBISH (NZ) 1994",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",344126,3,3,"Lord Zacford","3","g",58.00,6,1.23.90,0.37.46,2.60," ","Robert Dennis","Woodlands",10.60,0.00,0.00,"Brett Murray",56.00,2.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",300223,"ZACINTO (GB) 2006",253553,"LADY MOUNTFORD (NZ) 2006",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",329951,4,8,"Gemstone Jewels","4","m",56.50,1,1.23.47,0.37.39,," 1/2 LEN","Amanda Schwarz","Invercargill",4.90,1.80,6250.00,"BB Hong",53.50,3.00,53,0,0,"Approved Plates, Lugging Bit, Blinkers",244648,"BACHELOR DUKE (USA) 2001",209813,"ULTRA VIRES (NZ) 1999",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",303111,5,6,"Haka Star","6","m",56.50,2,1.23.56,0.37.13,0.50," HEAD","Ellis Winsloe","Gore",5.80,2.00,2000.00,"Jasmine Fawcett",55.50,1.00,52,0,0,"Approved Plates, Lugging Bit",250526,"COATS CHOICE (AUS) 2001",185280,"CLAYMOUR STAR (NZ) 1995",
47511,2019-03-10,6,"Gore","Tier 2 Feature","Race","Wyndham RC","WYNDHAM @ GORE 10 MAR","Dead",5,"Fine","True | No Rain | Light Winds",201445,4,,Flat,1335,"MDN","HERBERTS TRANSPORT / VETCO EDENDALE",10000.00,13:47:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Dead",5,"Fine",351213,6,10,"Molly Polly (AUS)","4","m",56.50,8,1.24.22,0.37.46,4.90," ","Kelvin Tyler & Aimee Tyler","Riverton",12.10,0.00,0.00,"Gee Saejorhor",52.50,4.00,51,0,0,"Approved Plates, Lugging Bit",232974,"HUSSONET (USA) 1991",351214,"TEVEZ (AUS) 2004",
