<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",298335,12,13,"Raaj","7","g",54.00,5,2.18.95,0.42.01,3.80," 1/2 LEN","Lesley Munro","Pukekohe Park",15.90,0.00,275.00,"Bridget Grylls",54.00,0.00,60,66,0,"Approved Plates, Tongue Control Bit, Blinkers, Nose Band",255989,"IFFRAAJ (GB) 2001",223738,"LILLY PILLY (NZ) 2001",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",307736,13,10,"Moose","6","g",54.00,4,2.18.90,0.41.27,3.60," LONG HEAD","Keith & Gavin Opie","Te Aroha",11.80,0.00,550.00,"Darren Danis",51.00,3.00,59,0,0,"Approved Plates (Hind), Standard Tips (Front), Lugging Bit, Cheek Burrs",255435,"LUCKY UNICORN (AUS) 2002",212894,"KENSINGTON MEWS (AUS) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",303308,14,6,"Kingtide","6","g",54.00,9,2.19.40,0.41.92,6.50," ","Ken Harrison","Te Awamutu",29.30,0.00,0.00,"Taiki Yanagida",52.50,1.50,58,0,0,"Approved Plates, Lugging Bit, Nasal Strip",209726,"ISTIDAAD (USA) 1992",227477,"MRS KING (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198327,7,,Flat,2000,"Rating 72 Benchmark","TRANSPORT MECHANICAL WAHAROA LTD 2000",11000.00,16:04:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Heavy",11,"Raining",265423,15,5,"Wee Biskit","10","m",54.00,6,2.19.05,0.41.08,4.30," ","Ken Duncan","Hunterville",85.70,0.00,0.00,"Christopher Dell",54.00,0.00,56,90,0,"Approved Plates, Standard Bit",226925,"ZED (NZ) 2002",214663,"NANCY HOPE (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",307925,2,7,"Gingee","6","g",58.50,3,2.21.20,0.42.79,1.60," 1/2 LEN","Andrew Meikle","Pukeatua",6.10,2.10,1000.00,"Lynsey Satherley",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit",209726,"ISTIDAAD (USA) 1992",231451,"MY PRIZE BIRD (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",330380,3,10,"Banks Road","4","g",58.50,7,2.22.27,0.43.22,7.30," ","Mark Brosnan","Matamata",11.40,0.00,0.00,"Andrew Calder",58.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers",226925,"ZED (NZ) 2002",215736,"HEATHER'S MAGIC (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",294121,4,9,"Cool Belt","7","g",58.50,8,2.23.04,0.44.70,12.10," ","Moira & Kieran Murdoch","Pukekohe Park",6.10,0.00,0.00,"Sam Weatherley",58.50,0.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",174990,"SHY BELT (NZ) 1994",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",322164,5,1,"Burdocvelvetprince","5","g",58.50,11,2.25.48,0.45.96,27.40," ","Tony Gillies","Matamata",46.10,0.00,0.00,"Kate Cowan",55.50,3.00,45,0,0,"Approved Plates, Lugging Bit",255435,"LUCKY UNICORN (AUS) 2002",206772,"DEEBEE JEAN (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",325243,7,8,"Swipe Right","5","g",58.50,9,2.24.46,0.45.17,21.00," ","Wayne Larsen","Pukekohe Park",86.70,0.00,0.00,"Rowena Smyth",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",270278,"SAKHEE'S SECRET (GB) 2004",205200,"HEROIC TOUCH (NZ) 1998",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",320210,8,6,"The Bieber","5","g",58.50,10,2.24.91,0.46.47,23.90," ","Ken Duncan","Hunterville",73.10,0.00,0.00,"Tui Miles",54.50,4.00,45,0,0,"Approved Plates, Standard Bit",255989,"IFFRAAJ (GB) 2001",231525,"MONZAHRA (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",315841,9,11,"Sienna Grace","5","m",56.50,5,2.22.02,0.43.04,5.90," 1 LEN","Ben Ropiha","Te Awamutu",5.20,0.00,250.00,"Taiki Yanagida",52.50,4.00,51,0,0,"Approved Plates, Lugging Bit, Blinkers",238720,"EKRAAR (USA) 1997",258982,"KYLEMORE ABBEY (NZ) 2007",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",332649,10,12,"Lady Day","4","m",56.50,2,2.21.08,0.42.46,0.80," 3/4 LEN","Karyn McQuade","Matamata",13.40,3.50,2000.00,"Darren Danis",53.50,3.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Cheek Burrs",238720,"EKRAAR (USA) 1997",249217,"IDIDNTDOIT (NZ) 2005",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",310882,11,2,"Pavlichenko","6","m",56.50,6,2.22.20,0.43.67,6.90," ","Peter & Jessica Brosnan","Matamata",17.70,0.00,0.00,"Cameron Lammas",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Blinkers",241392,"NOM DU JEU (NZ) 2004",231458,"LADY ASSASSIN (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",320116,13,3,"The Final Fling","5","m",56.50,4,2.21.31,0.42.80,2.10," 3 3/4 LEN","Murray Baker & Andrew Forsman","Cambridge",8.60,0.00,500.00,"Matthew Cameron",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Tongue Tie",287683,"RIP VAN WINKLE (IRE) 2006",195684,"THE MINDER (NZ) 1997",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",315795,14,5,"Wilbermere","5","m",56.50,1,2.20.91,0.42.58,," 3/4 LEN","Moira & Kieran Murdoch","Pukekohe Park",3.90,1.60,6250.00,"Leith Innes",56.50,0.00,45,0,0,"Approved Plates, Standard Bit",301937,"REDWOOD (GB) 2006",270576,"HALIBURTON (AUS) 2005",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198331,8,,Flat,2000,"MDN","GCM FEEDS 2000",10000.00,16:39:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",316563,15,4,"Choux Lace","5","m",56.50,12,2.25.61,0.46.58,28.20," ","Allan Wright","Matamata",29.00,0.00,0.00,"Jasmine Fawcett",54.50,2.00,45,0,0,"Approved Plates, Lugging Bit",258606,"JIMMY CHOUX (NZ) 2007",267879,"PRODIGIOUS (NZ) 2008",
