<-- Copyright Notice: (c) 2018 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",331737,10,10,"Loose Choux","4","m",56.50,10,1.19.75,0.40.97,6.60," ","Rudy Liefting","Pukekohe Park",25.10,0.00,0.00,"Rebecca Scott",52.50,4.00,45,0,0,"Approved Plates, Lugging Bit",258606,"JIMMY CHOUX (NZ) 2007",220518,"SHAKIRA (NZ) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",343512,11,3,"Kandari","3","g",56.00,12,1.19.89,0.40.89,7.50," ","Mark Forbes","Cambridge",7.50,0.00,0.00,"Leith Innes",56.00,0.00,47,0,0,"Approved Plates, Lugging Bit",222919,"KEEPER (AUS) 1997",252978,"PRIME TIME (AUS) 2003",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",339990,12,8,"Imelda Mary","3","f",54.00,6,1.18.93,0.39.55,1.50," ","Wayne Hillis","Matamata",5.10,0.00,0.00,"Darren Danis",51.00,3.00,53,0,0,"Approved Plates, Lugging Bit",273123,"FERLAX (NZ) 2009",326135,"ELEESHA (AUS) 2010",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",351508,14,2,"Whoshe's Girl","3","f",54.00,7,1.19.05,0.39.71,2.30," ","David Wilson","Cambridge",39.40,0.00,0.00,"Rowena Smyth",54.50,-0.50,45,0,0,"Approved Plates, Lugging Bit",268744,"BURGUNDY (NZ) 2008",266548,"WHOSHE (NZ) 2008",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",317476,15,13,"Jewell Of Jumeriah","5","m",56.50,1,1.18.66,0.40.13,," NOSE","Grant & Tana Shaw","Waiuku",48.60,9.50,6250.00,"Jasmine Fawcett",54.50,2.00,45,0,0,"Approved Plates, Lugging Bit, Nose Band",301937,"REDWOOD (GB) 2006",231266,"JUMERIAH JAIDE (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",317836,16,6,"Shahana","5","m",56.50,14,1.21.24,0.42.16,15.90," ","Scott Wenn","Te Aroha",19.60,0.00,0.00,"Cameron Lammas",56.50,0.00,45,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit, Blinkers",270278,"SAKHEE'S SECRET (GB) 2004",231458,"LADY ASSASSIN (NZ) 2002",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198333,2,,Flat,1200,"MDN","WAHAROA INDUSTRIAL PARK 1200",10000.00,13:10:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",304371,17,4,"Paco Lad","6","g",58.50,4,1.18.78,0.40.13,0.80," SHORT NECK","Keith & Gavin Opie","Te Aroha",55.30,0.00,500.00,"Andrew Calder",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit on, Tongue Tie (1st time)",287691,"PACO BOY (IRE) 2005",253098,"FANTASTIC LASS (NZ) 2006",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",304334,1,7,"Ifnot Wainot","6","g",59.00,4,1.16.90,0.39.24,5.00," 2 LEN","Kevin Crampton","Byerley Park",4.30,0.00,500.00,"Christopher Dell",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip, Tongue Tie",255435,"LUCKY UNICORN (AUS) 2002",237362,"EBONY REA (AUS) 2003",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",320897,2,6,"Saint Croix","5","g",58.00,2,1.16.54,0.38.89,2.50," 2 1/4 LEN","Trina Riddell","Cambridge",7.70,2.40,2000.00,"Jonathan Riddell",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",261934,"NADEEM (AUS) 2003",267286,"VIRGIN ISLANDS (NZ) 2008",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",324016,3,8,"Icing On The Cake","5","m",57.50,3,1.16.85,0.38.92,4.80," LONG HEAD","Mark Brosnan","Matamata",6.50,2.40,1000.00,"Shaun McKay",57.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Barrier Blanket, Tongue Tie",238708,"CAPTAIN RIO (GB) 1999",208962,"CLASS JEWEL (NZ) 1999",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",306146,4,5,"Good Vibes","6","m",56.50,6,1.17.43,0.40.03,8.50," ","Peter & Jessica Brosnan","Matamata",9.80,0.00,0.00,"Tui Miles",52.50,4.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",218686,"ELECTRONIC ZONE (USA) 1994",195052,"SOUTHERN DAUGHTER (NZ) 1997",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",316453,5,4,"Majic Ruler","5","m",56.00,8,1.18.64,0.41.13,16.00," ","Peter & Dawn Williams","Byerley Park",7.30,0.00,0.00,"Andrew Calder",56.00,0.00,61,0,0,"Approved Plates, Standard Bit, Nose Band",245385,"SUN RULER (AUS) 2005",245477,"MAJIC GEM (NZ) 2005",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",338685,6,2,"Zappeur (AUS)","5","m",56.00,5,1.17.21,0.39.64,7.00," 1 1/2 LEN","Stephen Marsh","Cambridge",5.90,0.00,250.00,"Shafiq Rusof",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",300974,"BENETEAU (AUS) 2007",338686,"ZANNGANA (IRE) 2000",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",290842,7,3,"Liquid Inspiration","7","m",55.50,1,1.16.13,0.38.79,," 2 1/2 LEN","Wayne Hillis","Matamata",6.50,2.10,6250.00,"Darren Danis",52.50,3.00,60,0,0,"Approved Plates, Lugging Bit, Side Winkers",255989,"IFFRAAJ (GB) 2001",167843,"GIMMEE MOORE (NZ) 1992",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",198330,3,,Flat,1200,"Rating 65 Benchmark*","ADM FEEDS LTD 1200",10000.00,13:44:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",11,"Raining",320525,9,1,"Milly Moo","5","m",54.50,7,1.17.70,0.40.19,10.10," ","Stuart Manning","Tauranga",8.80,0.00,0.00,"Ashvin Goindasamy",50.50,4.00,58,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nasal Strip, Tongue Tie (1st time)",222919,"KEEPER (AUS) 1997",249677,"BETTIEBOOP (NZ) 2005",
47239,2018-08-29,2,"Matamata","Industry","Race","Matamata RC","MATAMATA RC 29 AUG","Heavy",11,"Raining","Out 5m | 7mm Rain since 7am | Strong Winds | Heavy Rain Forecast",199579,4,,Flat,1400,"MDN","WAHAROA TRANSPORT CO (1995) LTD 1400",10000.00,14:19:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",11,"Raining",317135,1,12,"Sure He Can","5","g",58.50,3,1.33.63,0.41.82,1.30," 2 LEN","Wayne Hillis","Matamata",4.60,1.70,1000.00,"Cameron Lammas",58.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",255989,"IFFRAAJ (GB) 2001",214675,"MULTI TASKER (NZ) 2000",
