<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",381501,10,3,"Bold Bette","3","f",54.00,4,1.20.25,0.37.41,2.20," 3 LEN","Robbie Patterson","New Plymouth",11.50,0.00,400.00,"Samantha Collett",54.00,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie (1st time)",285563,"THE BOLD ONE (NZ) 2010",267862,"DIDJANO RIO (NZ) 2008",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208044,2,,Flat,1300,"MDN","	TE AO HONEY MDN",10000.00,12:33:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",366829,11,8,"Sweet Karma","3","f",54.00,7,1.22.18,0.38.74,13.50," ","John Wheeler","New Plymouth",7.20,0.00,200.00,"Temyia Taiaroa",51.00,3.00,45,0,0,"Approved Plates, Standard Bit, Nose Band",304111,"SWEET ORANGE (USA) 2007",255529,"JUST LIKE A PRAYER (NZ) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",364559,1,3,"Macros","4","g",58.50,3,1.20.75,0.38.10,6.30," 3 LEN","Stephen Ralph","Te Awamutu",5.60,1.60,700.00,"Tegan Newman",55.50,3.00,51,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",301937,"REDWOOD (GB) 2006",209097,"SADIE BELLE (NZ) 1999",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",356302,4,7,"Fill Ya Boots","4","g",58.50,8,1.23.05,0.39.51,19.90," ","Cody Cole","Matamata",13.20,0.00,200.00,"Johnathan Parkes",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Nose Band",258606,"JIMMY CHOUX (NZ) 2007",247697,"SELENUS (NZ) 2005",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",361501,5,2,"Smarty Pants","4","m",56.50,1,1.19.70,0.37.17,," 3 1/2 LEN","Janelle Millar","New Plymouth",3.80,1.50,5400.00,"Chelsea Burdan",54.50,2.00,51,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",337951,"CHARM SPIRIT (IRE) 2011",272955,"BRANNICKERS (NZ) 2009",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",348907,6,6,"Indy Fox","5","m",56.50,6,1.22.29,0.39.03,15.40," ","Anna Clement","Hawera",21.20,0.00,200.00,"Sam O'Malley",56.50,0.00,49,0,0,"Approved Plates, Lugging Bit, Side Winkers",278791,"INDY KING (USA) 1999",202950,"FOXY BOSS (NZ) 1998",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",323285,7,4,"Chasing The Crown","7","m",56.50,7,1.22.38,0.39.23,15.90," ","Karen Buttimore","Hawera",40.90,0.00,200.00,"Sarah Macnab",55.50,1.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time)",244799,"DUELLED (AUS) 2002",157178,"PALACE BOUND (NZ) 1991",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",353403,9,5,"Elegant Charm (AUS)","4","m",56.50,5,1.22.17,0.38.79,14.60," ","Janelle Millar","New Plymouth",13.20,0.00,200.00,"Mereana Hudson",53.50,3.00,45,0,0,"Approved Plates, Lugging Bit",337951,"CHARM SPIRIT (IRE) 2011",338470,"GYMNAST (AUS) 2011",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",373186,10,1,"Power Of The Kitty","3","f",54.00,2,1.20.28,0.37.54,3.50," 2 3/4 LEN","John Wheeler","New Plymouth",2.90,1.40,1500.00,"Samantha Collett",54.00,0.00,54,0,0,"Approved Plates, Lugging Bit",313325,"POWER (GB) 2009",278397,"CATBIRD KITTY (AUS) 2004",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",209708,3,,Flat,1300,"MDN","TARANAKI PINE MDN",10000.00,13:08:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Heavy",10,"Overcast",377157,11,8,"Swing The Tide","3","f",54.00,4,1.21.26,0.37.62,9.30," 5 1/4 LEN","Josh Shaw","Levin",5.30,0.00,400.00,"Ashvin Mudhoo",50.00,4.00,51,0,0,"Approved Plates, Lugging Bit, Side Winkers",265282,"OCEAN PARK (NZ) 2008",245059,"LA BELLE EPOQUE (NZ) 2005",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",294774,1,11,"Amun Ra","9","g",60.00,12,1.46.67,0.43.72,40.30," ","Sean Cameron","Waiuku",55.80,0.00,450.00,"Sam O'Malley",57.00,3.00,65,0,0,"Approved Plates, Lugging Bit, Blinkers",231663,"USTINOV (AUS) 1998",211247,"JAHAN (NZ) 1999",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",357380,3,12,"Quiz Kid","4","g",59.00,3,1.40.90,0.39.24,6.30," LONG NECK","Craig and Shaun Phelan","Cambridge",5.00,2.00,1575.00,"Chad Ormsby",59.00,0.00,63,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nasal Strip, Nose Band",255989,"IFFRAAJ (GB) 2001",256088,"GUESSING (NZ) 2006",
49560,2020-09-26,4,"New Plymouth Raceway","Feature","Race","Taranaki RI","TARANAKI RI 26 SEP","Heavy",10,"Overcast","Out 3m | No Rain Overnight | Heavy Dew",208041,4,,Flat,1600,"Rating 65 Benchmark*","REVITAL FERTILISERS 1600",22500.00,13:42:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Heavy",10,"Overcast",329252,5,7,"Albaron","6","g",58.50,2,1.40.69,0.37.75,5.00," 1 1/4 LEN","Kevin Myers","Wanganui",10.90,3.30,3375.00,"Sarah Macnab",57.50,1.00,62,69,69,"Approved Plates, Lugging Bit, Side Winkers",268744,"BURGUNDY (NZ) 2008",259034,"THREEPENCE (NZ) 2007",
