<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",361504,3,4,"Not Usual Litening","4","g",57.50,11,1.26.68,0.38.18,8.60," ","John & Karen Parsons","Balcairn",17.60,0.00,200.00,"Corey Campbell",56.50,1.00,59,0,0,"Approved Plates, Lugging Bit",211629,"PINS (AUS) 1996",262363,"ANGEL DEL DINERO (NZ) 2007",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",360762,4,6,"Tradition","4","m",57.00,2,1.25.42,0.37.06,0.10," 1/2 HEAD","Bruce Tapper","Timaru",9.30,2.20,1500.00,"Racha Cuneen",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",337555,"PROISIR (AUS) 2009",280703,"DUNOON (NZ) 2010",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",372010,5,5,"Watchmaker","3","g",57.00,1,1.25.43,0.36.52,," 2 1/2 LEN","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",1.70,1.20,5800.00,"Kavish Chowdhoory",56.00,1.00,62,0,0,"Approved Plates, Bar Plates (Front), Lugging Bit, Blinkers",211629,"PINS (AUS) 1996",279977,"TICK TOCK (NZ) 2010",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",346790,6,12,"Shock Prospect","5","m",56.50,4,1.25.96,0.36.58,3.40," 1 1/4 LEN","Andrew Carston","Riccarton Park",7.20,0.00,400.00,"Chris Johnson",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Blinkers",287450,"SHOCKING (AUS) 2005",238639,"SHADOW RAY (JPN) 1997",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",362318,7,1,"Once A Week","4","g",56.50,7,1.26.35,0.37.88,6.00," ","Jackie Burrows","Rolleston",36.60,0.00,200.00,"Tanya Jonker",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit",301937,"REDWOOD (GB) 2006",278624,"EYE ONE (AUS) 2009",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",349533,8,7,"Alonzo","5","g",56.00,12,1.26.73,0.37.04,8.90," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",29.60,0.00,200.00,"Sanu Toolooa",53.00,3.00,57,0,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages",227849,"TESTA ROSSA (AUS) 1996",338118,"JOIE D'AMOUR (AUS) 2009",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",341248,9,9,"Johnnie Redmond","5","g",55.50,5,1.26.16,0.36.11,4.70," ","Kirsty Barringer","Woodside",69.80,0.00,200.00,"Lee Callaway",56.00,-0.50,56,0,0,"Approved Plates, Standard Bit (1st time), Blinkers, Nose Band",244648,"BACHELOR DUKE (USA) 2001",239565,"OODLES (NZ) 2004",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",322734,10,8,"Noah","7","g",55.50,9,1.26.52,0.37.41,7.30," ","Cheri Trembath","Ashburton",26.70,0.00,200.00,"Rohan Mudhoo",53.50,2.00,55,0,0,"Approved Plates, Lugging Bit, Nose Band",280637,"PER INCANTO (USA) 2004",177227,"TRUST D'OR (NZ) 1994",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",322922,11,2,"Our Frankie","7","m",55.00,10,1.26.62,0.37.30,8.10," ","Daniel Champion & Kezia Murphy","Riccarton Park",21.30,0.00,200.00,"Meghann Gestain",51.00,4.00,58,0,0,"Approved Plates, Lugging Bit, Tongue Tie",278350,"RED GIANT (USA) 2004",240104,"KALIBRATE (NZ) 2004",
49636,2020-12-30,6,"Kurow","Industry","Race","Kurow JC","KUROW 30 DEC","Dead",4,"Fine","True | No Rain Last 24hrs",209091,3,,Flat,1400,"Rating 65 Benchmark*","COUPLANDS WORKING DOG HANDICAP R65 1400",10000.00,14:27:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",339459,12,3,"Viva La Blues (AUS)","5","m",54.00,3,1.25.83,0.37.06,2.60," 3/4 LEN","Danny Crozier","Riccarton Park",18.90,3.90,700.00,"Samantha Wynne",54.00,0.00,57,0,0,"Approved Plates, Lugging Bit, Blinkers",242513,"GUILLOTINE (NZ) 2004",239448,"KABLUES (NZ) 2004",
