<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",314712,1,12,"Star Quality","8","g",59.00,13,2.14.46,0.37.36,12.00," ","Sue Walsh","Foxton",38.70,0.00,200.00,"Shaun McKay",59.00,0.00,60,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Nasal Strip, Tongue Tie",259294,"THANO (ARG) 2002",216368,"TAMAHERE STAR (NZ) 2000",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",327696,2,4,"Beau Geste","6","g",58.50,14,2.15.11,0.38.35,16.30," ","Kevin Myers","Wanganui",18.80,0.00,200.00,"Sam O'Malley",58.50,0.00,59,0,0,"Approved Plates, Lugging Bit, Tongue Tie",300680,"POUR MOI (IRE) 2008",211858,"VILLA WANDA (GB) 1996",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",358168,3,13,"Platinum Spirit","4","h",58.50,3,2.12.75,0.35.38,0.80," NECK","Lisa Latta","Awapuni",5.20,2.30,700.00,"Ryan Elliot",58.50,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers",337951,"CHARM SPIRIT (IRE) 2011",215362,"MIA LE FAY (NZ) 2000",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",351417,4,14,"Red Jakkal","5","g",58.50,4,2.12.81,0.36.46,1.10," 1/2 HEAD","Leon Mudgway","Woodville",5.00,0.00,400.00,"Leah Hemi",58.50,0.00,59,0,0,"Approved Plates, Standard Bit",324908,"JAKKALBERRY (IRE) 2006",300671,"RED ALERT (NZ) 2011",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",351044,5,11,"Satriani","5","g",58.50,8,2.13.20,0.36.63,3.60," ","Cydne Evans","Byerley Park",13.00,0.00,200.00,"Taiki Yanagida",57.50,1.00,59,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",245781,"SUFFICIENT (NZ) 2005",223413,"DOUBLE OKAY (NZ) 2001",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",325135,6,8,"Wholetthefoxout","7","g",58.00,11,2.13.40,0.37.18,5.00," ","Dean Cunningham","Marton",17.30,0.00,200.00,"Johnathan Parkes",58.00,0.00,58,59,0,"Approved Plates, Lugging Bit, Blinkers",236672,"METTRE EN JEU (NZ) 2003",221197,"TINKERBEEL (NZ) 2001",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",337529,7,7,"All In Stitches","6","g",57.50,2,2.12.71,0.35.62,0.50," NECK","Kevin Gray","Copper Belt Lodge, Palmerston North",8.70,2.60,1500.00,"Temyia Taiaroa",54.50,3.00,57,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",226925,"ZED (NZ) 2002",263907,"ALL IN KEEPING (NZ) 2008",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",323601,8,3,"Fishermans Blues","7","g",57.50,6,2.13.02,0.35.82,2.50," ","Kevin Myers","Wanganui",15.90,0.00,200.00,"Sarah Macnab",56.50,1.00,57,0,0,"Approved Plates, Lugging Bit",261934,"NADEEM (AUS) 2003",223734,"SHANA SINGA (NZ) 2001",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",323539,9,5,"Mister Geronimo","7","g",57.00,5,2.12.82,0.35.60,1.20," 1 1/4 LEN","Trudy Keegan","Stratford",8.20,0.00,200.00,"Lisa Allpress",57.00,0.00,56,0,0,"Approved Plates, Lugging Bit",278104,"MASTERCRAFTSMAN (IRE) 2006",191392,"KILSHANNY LASS (NZ) 1996",
49625,2020-12-19,4,"Awapuni","Feature","Race","Manawatu RC","MANAWATU RC 19 DEC","Dead",4,"Fine","True | Outside bend | 5mm Irrigation Applied Last 24 Hours",210780,4,,Flat,2100,"Rating 65 Benchmark*","THE TANK GUYS 2100",10000.00,13:57:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Dead",4,"Fine",348968,10,2,"Sassenach","5","m",56.50,1,2.12.62,0.35.08,," 1/2 LEN","Austin Brown","Opaki",11.70,3.40,5400.00,"Chris Johnson",56.50,0.00,59,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",280637,"PER INCANTO (USA) 2004",233698,"EUTROPHY (AUS) 2003",
