<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",363941,3,6,"Colossal","4","g",59.00,10,2.10.51,0.37.83,13.10," ","Peter & Dawn Williams","Byerley Park",15.00,0.00,450.00,"Vinnie Colgan",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",301393,"FOXWEDGE (AUS) 2008",337327,"CUTTING REMARK (AUS) 2006",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",357374,5,11,"Mister Mosey","4","g",59.00,11,2.11.40,0.38.72,18.70," ","David Greene","Te Rapa",5.50,0.00,450.00,"Michael McNab",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Nose Band",255989,"IFFRAAJ (GB) 2001",314898,"MOSELLE (NZ) 2012",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",360713,6,5,"Nowanagen","4","g",59.00,4,2.09.51,0.37.15,7.00," SHORT NECK","Nick Smith","Cambridge",7.00,0.00,900.00,"Darren Danis",57.00,2.00,63,0,0,"Approved Plates, Standard Bit, Ear Covers",257403,"HE'S REMARKABLE (NZ) 2007",236006,"SOMETIMES (NZ) 2003",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",332342,7,2,"Plushenko","6","g",59.00,1,2.08.47,0.34.87,," 4 1/4 LEN","Grant & Tana Shaw","Waiuku",12.40,3.50,12150.00,"Leith Innes",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers on",264625,"ROCK 'N' POP (AUS) 2008",265920,"RUSSIAN (USA) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",357380,8,7,"Quiz Kid","4","g",59.00,3,2.09.42,0.37.22,6.60," LONG NECK","Craig and Shaun Phelan","Cambridge",6.50,2.40,1575.00,"Jonathan Riddell",59.00,0.00,63,0,0,"Ear Covers Pre-Race, Approved Plates, Standard Bit on, Nasal Strip, Nose Band",255989,"IFFRAAJ (GB) 2001",256088,"GUESSING (NZ) 2006",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",356861,9,3,"Solid Contact","4","g",58.50,8,2.10.01,0.37.13,10.10," ","Martin Da Cruz","Cambridge",13.10,0.00,450.00,"Mubs Kareem",55.50,3.00,62,0,0,"Approved Plates, Lugging Bit, Nose Band, Tongue Tie",238456,"SAVABEEL (AUS) 2001",257781,"I DO (NZ) 2007",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",312144,12,4,"Motuman","8","g",57.50,5,2.09.56,0.36.68,7.20," SHORT HEAD","Wayne Carter","Tauranga",28.30,0.00,450.00,"Eilish McCall",54.50,3.00,60,0,0,"Approved Plates, Lugging Bit",254654,"MAN OF POWER (AUS) 2005",239748,"GO NELLA (NZ) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",341595,14,1,"Prestigious Lad","5","g",56.50,9,2.10.03,0.36.59,10.20," ","Iain Kennedy","Rotorua",45.20,0.00,450.00,"Lynsey Satherley",56.50,0.00,58,0,0,"Approved Plates, Lugging Bit, Blinkers",313325,"POWER (GB) 2009",258373,"DONTDYEWONDERIN (NZ) 2007",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",340707,15,8,"Endean Lass","5","m",56.00,6,2.09.58,0.36.30,7.30," ","Iain Kennedy","Rotorua",33.80,0.00,450.00,"Sam Weatherley",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers, Nasal Strip",248656,"TAVISTOCK (NZ) 2005",267115,"EVENADUCHESS (NZ) 2008",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208732,3,,Flat,2100,"Rating 65 Benchmark*","FOSTER GROUP 2100",22500.00,13:47:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Good",3,"Overcast",302989,16,13,"Rocanic","8","m",55.00,12,2.12.60,0.39.60,26.20," ","Clayton Stevenson","Waipu",78.90,0.00,450.00,"Taiki Yanagida",54.00,1.00,59,0,0,"Approved Plates, Lugging Bit",242640,"ROC DE CAMBES (NZ) 2004",238024,"ZEEANIC (NZ) 2003",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",327126,3,5,"Verry Flash","6","g",59.00,10,2.12.82,0.36.03,10.40," ","Nicholas Bishara","Ardmore Lodge",16.60,0.00,650.00,"Andrew Calder",59.00,0.00,83,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Side Winkers",226925,"ZED (NZ) 2002",249265,"OPULENCE (NZ) 2005",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",331877,4,4,"Lincoln King","6","g",58.50,2,2.11.70,0.34.63,2.80," SHORT NECK","Stephen Marsh","Cambridge",3.30,1.50,4875.00,"Danielle Johnson",58.50,0.00,82,0,0,"Approved Plates, Lugging Bit",287450,"SHOCKING (AUS) 2005",244751,"SHI KIN FLY (NZ) 2004",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",335907,5,3,"Steven James","6","g",58.50,6,2.12.26,0.35.12,6.90," ","John Morell","Te Rapa",5.50,0.00,650.00,"Lynsey Satherley",58.50,0.00,82,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Tongue Tie",238720,"EKRAAR (USA) 1997",271357,"FLINDERS (USA) 2000",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",297148,6,10,"Athena Baby","9","g",58.00,7,2.12.35,0.35.45,7.50," ","John Bell","Cambridge",11.70,0.00,650.00,"Trudy Thornton",58.00,0.00,81,0,0,"Approved Plates, Lugging Bit, Visor Blinkers",285139,"SWISS ACE (AUS) 2004",263094,"MISCELLANEA (AUS) 1997",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",330846,7,11,"Finbarr","6","g",57.50,8,2.12.41,0.35.51,7.80," ","Gay Robinson","Ascot Park",14.40,0.00,650.00,"Leith Innes",57.50,0.00,80,0,0,"Ear Covers Pre-Race, Approved Plates, Concussion Plates (Front), Lugging Bit, Blinkers, Nasal Strip, Nose Band",215366,"FALKIRK (NZ) 2000",234608,"SOUTHERN CLOUD (NZ) 2003",
49578,2020-10-24,2,"Te Rapa","Feature","Race","Waikato RC","WAIKATO RC 24 OCT","Dead",4,"Overcast","True | 12.5mm Rain This Week | No Rain Last 24 Hours",208728,4,,Flat,2100,"OPN HCP","UBP TE AWAMUTU CUP",32500.00,14:22:00,"N",54.00,"Unrestricted","Open","unrestricted","hcp","Good",3,"Overcast",327476,8,9,"Robusto","6","m",56.50,1,2.11.35,0.34.69,," 2 3/4 LEN","Murray Baker & Andrew Forsman","Cambridge",4.80,1.80,17550.00,"Matthew Cameron",56.50,0.00,82,0,0,"Approved Plates, Lugging Bit, Blinkers",226925,"ZED (NZ) 2002",257299,"ADRIATICO (NZ) 2007",
