<-- Copyright Notice: (c) 2020 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",294774,7,8,"Amun Ra","9","g",55.00,8,1.41.36,0.36.50,4.80," ","Sean Cameron","Waiuku",49.30,0.00,600.00,"Trudy Thornton",55.00,0.00,69,0,0,"Approved Plates, Lugging Bit, Blinkers",231663,"USTINOV (AUS) 1998",211247,"JAHAN (NZ) 1999",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",294140,8,3,"Deluxe Edition","9","g",55.00,3,1.40.75,0.35.25,0.60," 1 1/2 LEN","Ian George","Matamata",10.50,2.50,2100.00,"Tegan Newman",52.00,3.00,69,0,0,"Approved Plates, Lugging Bit, Blinkers",248656,"TAVISTOCK (NZ) 2005",188452,"ARLANDA (NZ) 1996",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",318716,9,10,"Pursued","7","g",55.00,7,1.41.31,0.36.55,4.40," ","Paul Gordon","Te Aroha",16.10,0.00,600.00,"Mubs Kareem",52.00,3.00,69,0,0,"Approved Plates, Lugging Bit, Blinkers, Ear Covers",242513,"GUILLOTINE (NZ) 2004",237380,"COURTING (NZ) 2003",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",321798,10,9,"Switch In Time","7","g",54.00,9,1.41.42,0.36.18,5.10," ","Nigel Tiley","Pukekohe",18.70,0.00,600.00,"Sam Spratt",54.00,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",253399,"REMIND (USA) 2000",201365,"SWITCHES (AUS) 1995",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207934,2,,Flat,1600,"Rating 83 HCP","RED BARN CHEF 1600",30000.00,12:03:00,"N",54.00,"Unrestricted","Rating 83","unrestricted","hcp","Slow",7,"Overcast",347816,11,6,"Capellani","5","g",54.00,5,1.41.10,0.35.95,3.10," NECK","Team Rogerson","Tuhikaramea",43.80,0.00,600.00,"Brandon May",54.00,0.00,66,0,0,"Approved Plates, Lugging Bit, Blinkers",242640,"ROC DE CAMBES (NZ) 2004",267619,"CAVESTANI (NZ) 2008",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",310883,1,8,"Bluetwentytwo","8","g",60.00,14,1.39.64,0.38.39,5.70," ","Stephen Ralph","Te Awamutu",19.70,0.00,450.00,"Jonathan Riddell",60.00,0.00,65,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",247999,"EL HERMANO (NZ) 2005",215224,"DREAM BELLE (NZ) 2000",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",344420,2,7,"Into The Deep","5","g",59.50,12,1.39.51,0.38.10,4.90," ","Ralph Manning","Cambridge",6.20,0.00,450.00,"Danielle Johnson",59.50,0.00,64,0,0,"Approved Plates, Lugging Bit, Nasal Strip",238456,"SAVABEEL (AUS) 2001",269681,"RIPPLE ROCK (AUS) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",340305,3,5,"Tahuroa Height","5","g",59.00,15,1.39.71,0.37.86,6.10," ","Stephen Ralph","Te Awamutu",28.40,0.00,0.00,"Sam Spratt",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit",226925,"ZED (NZ) 2002",258380,"MATANGI (NZ) 2007",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",365127,4,9,"Teen Titan (AUS)","5","g",59.00,2,1.38.80,0.37.06,0.40," NECK","Bob Autridge","Matamata",5.50,2.20,3375.00,"Jasmine Fawcett",58.00,1.00,63,0,0,"Approved Plates, Lugging Bit",350894,"FIORENTE (IRE) 2008",365128,"CLEARLY FOXY (USA) 2005",
49441,2020-08-01,2,"Matamata","Feature","Race","Matamata RC","MATAMATA RC 1 AUG","Slow",7,"Overcast","Out 3m | Windy | No rain",207937,3,,Flat,1600,"Rating 65 Benchmark*","ANCROFT DEVELOPMENTS 1600",22500.00,12:35:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Overcast",298502,5,14,"Wooden Edge","9","g",58.50,11,1.39.38,0.36.86,4.10," ","Chris Wood","Cambridge",20.70,0.00,450.00,"Callum Jones",55.50,3.00,62,0,0,"Approved Plates, Lugging Bit, Side Winkers, Tongue Tie",238828,"HAVE NO FEAR (NZ) 2002",244198,"OH MY GIRL (NZ) 2003",
